SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,January-28-2021,Single Family Residential,7133 Pipers Run Pl,North Las Vegas,NV,89084,419000,3,2.0,"Aliante Parcels 31A,31B & 31C",1992,6098,2006,85,210,45,Sold,,,http://www.redfin.com/NV/North-Las-Vegas/7133-Pipers-Run-Pl-89084/home/29226378,GLVAR,2249450,N,Y,36.2906714,-115.1720099
PAST SALE,March-29-2021,Single Family Residential,7408 Shelduck St,North Las Vegas,NV,89084,282000,2,1.75,Sun City Aliante Phase 2,1157,3920,2007,25,244,67,Sold,,,http://www.redfin.com/NV/North-Las-Vegas/7408-Shelduck-St-89084/home/29266910,GLVAR,2272035,N,Y,36.2953792,-115.173052
PAST SALE,March-17-2021,Single Family Residential,2221 Willow Wren Dr,North Las Vegas,NV,89084,385000,2,1.75,Sun City Aliante,1570,5227,2005,37,245,67,Sold,,,http://www.redfin.com/NV/North-Las-Vegas/2221-Willow-Wren-Dr-89084/home/29014499,GLVAR,2267734,N,Y,36.3049759,-115.1737931
PAST SALE,February-19-2021,Single Family Residential,4474 Lantern Point Ave Lot 180,Las Vegas,NV,89084,324990,4,2.5,Valley Vista Parcel 3.5,1673,3920,2020,63,194,59,Sold,,,http://www.redfin.com/NV/North-Las-Vegas/4474-Zara-Point-Ave-89084/unit-180/home/173599463,GLVAR,2243916,N,Y,36.2942795,-115.2010291
PAST SALE,January-26-2021,Single Family Residential,4503 Solitude Falls Ave #375,North Las Vegas,NV,89084,408234,5,3.0,VALLEY VISTA PARCEL 1.4,2988,5135,2020,87,137,,Sold,,,http://www.redfin.com/NV/North-Las-Vegas/4503-Solitude-Falls-Ave-89084/unit-375/home/173277766,GLVAR,2234224,N,Y,36.3018163,-115.2028434
PAST SALE,February-19-2021,Single Family Residential,2116 Cactus Desert Ct,North Las Vegas,NV,89084,457000,5,3.5,Aliante Parcels 30A & 30B,3397,7405,2006,63,135,45,Sold,,,http://www.redfin.com/NV/North-Las-Vegas/2116-Cactus-Desert-Ct-89084/home/29266698,GLVAR,2261172,N,Y,36.2880614,-115.1730289
PAST SALE,January-27-2021,Single Family Residential,3612 Hackle Ct,North Las Vegas,NV,89084,295000,3,1.75,C N L V 1905-Active Adult,1420,6970,2003,86,208,67,Sold,,,http://www.redfin.com/NV/North-Las-Vegas/3612-W-Hackle-Ct-89084/home/28977595,GLVAR,2254002,N,Y,36.3004288,-115.1883138
PAST SALE,February-1-2021,Single Family Residential,3418 Singer Ln,North Las Vegas,NV,89084,415000,3,2.0,CLUB ALIANTE UNIT 3 PHASE 1,2196,7841,2006,81,189,180,Sold,,,http://www.redfin.com/NV/North-Las-Vegas/3418-Singer-Ln-89084/home/29016846,GLVAR,2259975,N,Y,36.2938561,-115.1868317
PAST SALE,March-12-2021,Townhouse,6665 Lookout Lodge Ln #2,North Las Vegas,NV,89084,237000,2,2.5,North Valley Court,1332,871,2004,42,178,145,Sold,,,http://www.redfin.com/NV/North-Las-Vegas/6665-Lookout-Lodge-Ln-89084/unit-2/home/28981083,GLVAR,2262500,N,Y,36.2828263,-115.1872391
PAST SALE,March-17-2021,Single Family Residential,7724 Fruit Dove St,North Las Vegas,NV,89084,360000,2,1.75,Sun City Aliante Phase 2,1570,5227,2004,37,229,67,Sold,,,http://www.redfin.com/NV/North-Las-Vegas/7724-Fruit-Dove-St-89084/home/28980890,GLVAR,2266056,N,Y,36.300945,-115.1829179
PAST SALE,,Single Family Residential,3456 Flinthead Dr,North Las Vegas,NV,89084,201000,3,2.0,,1246,4356,2004,,161,,,,,http://www.redfin.com/NV/North-Las-Vegas/3456-Flinthead-Dr-89084/home/29000487,,,N,Y,36.2988494,-115.1860675
PAST SALE,March-15-2021,Single Family Residential,2364 Mourning Warbler Ave,North Las Vegas,NV,89084,297000,3,1.75,Sun City Aliante Phase 2,1420,3920,2006,39,209,45,Sold,,,http://www.redfin.com/NV/North-Las-Vegas/2364-Mourning-Warbler-Ave-89084/home/29017678,GLVAR,2264841,N,Y,36.2996554,-115.1750438
PAST SALE,March-17-2021,Single Family Residential,6953 Diver Ave,North Las Vegas,NV,89084,310000,3,2.0,Aliante Parcel 26,1692,5227,2004,37,183,52,Sold,,,http://www.redfin.com/NV/North-Las-Vegas/6953-Diver-Ave-89084/home/28980567,GLVAR,2265560,N,Y,36.286594,-115.1823157
PAST SALE,March-3-2021,Single Family Residential,1305 Silent Sunset Ave,North Las Vegas,NV,89084,525000,5,4.0,Eldorado R1-70 #9 Tm #19r,3804,9148,2004,51,138,22,Sold,,,http://www.redfin.com/NV/North-Las-Vegas/1305-Silent-Sunset-Ave-89084/home/29001659,GLVAR,2263788,N,Y,36.2785072,-115.1596887
PAST SALE,March-10-2021,Single Family Residential,1713 Dream Canyon Ave,North Las Vegas,NV,89084,510000,3,2.5,Vts Village 3 Parcel 306 At Tule Spgs,2582,6534,2019,44,198,56,Sold,,,http://www.redfin.com/NV/North-Las-Vegas/1713-Dream-Canyon-Ave-89084/home/166071431,GLVAR,2265467,N,Y,36.284444,-115.165625
PAST SALE,March-15-2021,Single Family Residential,3712 Tiger Ridge Ln,North Las Vegas,NV,89084,532000,5,3.0,Aliante North Parcel 19,4075,8276,2006,39,131,48,Sold,,,http://www.redfin.com/NV/North-Las-Vegas/3712-Tiger-Ridge-Ln-89084/home/29047618,GLVAR,2265859,N,Y,36.2872146,-115.1896339
PAST SALE,March-18-2021,Single Family Residential,3625 Tiger Ridge Ln,North Las Vegas,NV,89084,610000,4,2.5,Aliante North Parcel 19,3112,7841,2006,36,196,48,Sold,,,http://www.redfin.com/NV/North-Las-Vegas/3625-Tiger-Ridge-Ln-89084/home/29048017,GLVAR,2269464,N,Y,36.2874078,-115.1886844
PAST SALE,March-26-2021,Single Family Residential,6524 Ruddock Dr,Las Vegas,NV,89084,461500,4,2.0,Aliante Parcel 21,2032,6970,2003,28,227,37,Sold,,,http://www.redfin.com/NV/North-Las-Vegas/6524-N-Ruddock-Dr-89084/home/28971872,GLVAR,2270965,N,Y,36.2792067,-115.1891475
PAST SALE,January-26-2021,Condo/Co-op,4620 Puglia Ln #103,North Las Vegas,NV,89084,150000,1,1.0,Terrasini At Aliante,862,,2006,87,174,185,Sold,,,http://www.redfin.com/NV/North-Las-Vegas/4620-Puglia-Ln-89084/unit-103/home/29047325,GLVAR,2252138,N,Y,36.2818133,-115.2040612
PAST SALE,April-9-2021,Single Family Residential,4428 Valley Quail Way,North Las Vegas,NV,89084,330000,3,2.0,Cove At Aliante,1598,5663,2005,14,207,35,Sold,,,http://www.redfin.com/NV/North-Las-Vegas/4428-Valley-Quail-Way-89084/home/29047512,GLVAR,2269438,N,Y,36.282742,-115.2010739
PAST SALE,March-12-2021,Single Family Residential,4333 Galapagos Ave,North Las Vegas,NV,89084,265000,3,2.5,Aliante Parcel 12A Phase 1,1687,3920,2005,42,157,57,Sold,,,http://www.redfin.com/NV/North-Las-Vegas/4333-W-Galapagos-Ave-89084/home/29017250,GLVAR,2207395,N,Y,36.2841057,-115.1987118
PAST SALE,January-29-2021,Single Family Residential,421 Pacific Moon Ave,North Las Vegas,NV,89084,330000,3,2.5,Desert Moon,2315,5227,2010,84,143,83,Sold,,,http://www.redfin.com/NV/North-Las-Vegas/421-Pacific-Moon-Ave-89084/home/30287524,GLVAR,2251107,N,Y,36.2768973,-115.1471123
PAST SALE,January-27-2021,Single Family Residential,6539 Velvet Silk St,North Las Vegas,NV,89084,285000,3,2.0,Centennial & Revere,1533,4356,2004,86,186,34,Sold,,,http://www.redfin.com/NV/North-Las-Vegas/6539-N-Velvet-Silk-St-89084/home/28981790,GLVAR,2226898,N,Y,36.279602,-115.1527636
