SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,February-25-2021,Single Family Residential,7223 Magic Moment Ln,Las Vegas,NV,89119,373000,4,2.75,Meadow Valley #1 Amd Lewis Homes,1760,5663,1985,55,212,,Sold,,,http://www.redfin.com/NV/Las-Vegas/7223-Magic-Moment-Ln-89119/home/29593878,GLVAR,2262908,N,Y,36.0591163,-115.1286752
PAST SALE,January-25-2021,Single Family Residential,1762 Garden Path Ct,Las Vegas,NV,89119,259900,2,2.0,Meadow Valley #8-Lewis Homes,1164,5227,1991,86,223,,Sold,,,http://www.redfin.com/NV/Las-Vegas/1762-Garden-Path-Ct-89119/home/29592460,GLVAR,2247726,N,Y,36.062921,-115.1283973
PAST SALE,April-12-2021,Single Family Residential,1749 Autumn Rust Dr,Las Vegas,NV,89119,283000,2,2.0,Meadow Valley #8-Lewis Homes,1164,4356,1991,9,243,,Sold,,,http://www.redfin.com/NV/Las-Vegas/1749-Autumn-Rust-Dr-89119/home/29592446,GLVAR,2278583,N,Y,36.0632159,-115.128361
PAST SALE,March-26-2021,Single Family Residential,1720 Forest Walk Dr,Las Vegas,NV,89119,335000,3,2.25,Meadow Valley #1 Amd Lewis Homes,1514,3485,1985,26,221,,Sold,,,http://www.redfin.com/NV/Las-Vegas/1720-Forest-Walk-Dr-89119/home/29593745,GLVAR,2272110,N,Y,36.05974,-115.1290921
PAST SALE,April-16-2021,Single Family Residential,1709 Autumn Rust Dr,Las Vegas,NV,89119,291000,2,2.0,Meadow Valley #8-Lewis Homes,1330,4356,1991,5,219,,Sold,,,http://www.redfin.com/NV/Las-Vegas/1709-Autumn-Rust-Dr-89119/home/29592443,GLVAR,2278650,N,Y,36.0634236,-115.1289995
PAST SALE,February-19-2021,Single Family Residential,6942 Wine River Dr,Las Vegas,NV,89119,282000,2,2.0,Meadow Valley #13-Lewis Homes,1312,3920,1994,61,215,,Sold,,,http://www.redfin.com/NV/Las-Vegas/6942-Wine-River-Dr-89119/home/29593547,GLVAR,2256343,N,Y,36.0635905,-115.1196879
PAST SALE,March-2-2021,Single Family Residential,7049 Magic Moment Ln,Las Vegas,NV,89119,321000,3,2.5,Meadow Valley #7-Lewis Homes,1679,3920,1990,50,191,,Sold,,,http://www.redfin.com/NV/Las-Vegas/7049-Magic-Moment-Ln-89119/home/29593725,GLVAR,2265229,N,Y,36.0612811,-115.1245059
PAST SALE,January-29-2021,Single Family Residential,1435 Operetta Way,Las Vegas,NV,89119,253000,2,2.0,Symphaseony,969,4356,1988,82,261,,Sold,,,http://www.redfin.com/NV/Las-Vegas/1435-Operetta-Way-89119/home/29592525,GLVAR,2234631,N,Y,36.0632892,-115.1331688
PAST SALE,February-26-2021,Single Family Residential,7002 Cypress Gardens Ln,Las Vegas,NV,89119,280000,2,2.0,Meadow Valley #8-Lewis Homes,1164,4356,1991,54,241,,Sold,,,http://www.redfin.com/NV/Las-Vegas/7002-Cypress-Gardens-Ln-89119/home/29592377,GLVAR,2245983,N,Y,36.0624141,-115.1281771
PAST SALE,March-19-2021,Single Family Residential,1706 Autumn Rust Dr,Las Vegas,NV,89119,315000,3,2.75,Meadow Valley #8-Lewis Homes,1576,5227,1991,33,200,,Sold,,,http://www.redfin.com/NV/Las-Vegas/1706-Autumn-Rust-Dr-89119/home/29592395,GLVAR,2268446,N,Y,36.0638483,-115.1289122
PAST SALE,April-9-2021,Single Family Residential,1444 Recital Way,Las Vegas,NV,89119,367000,3,2.75,Symphaseony,1659,4792,1988,12,221,,Sold,,,http://www.redfin.com/NV/Las-Vegas/1444-Recital-Way-89119/home/29592608,GLVAR,2281981,N,Y,36.0623337,-115.1331688
PAST SALE,,Single Family Residential,6913 Jasmine Creek Way,Las Vegas,NV,89119,313843,2,2.5,,1679,5227,1990,,187,,,,,http://www.redfin.com/NV/Las-Vegas/6913-Jasmine-Creek-Way-89119/home/29592411,,,N,Y,36.0641512,-115.1312694
PAST SALE,January-28-2021,Single Family Residential,5231 Barbara Way,Las Vegas,NV,89119,305000,3,2.25,Century Garden Sub,1992,7405,1976,83,153,,Sold,,,http://www.redfin.com/NV/Las-Vegas/5231-Barbara-Way-89119/home/29516023,GLVAR,2247729,N,Y,36.0947912,-115.145213
PAST SALE,April-9-2021,Condo/Co-op,797 Harmon #26,Las Vegas,NV,89119,75000,0,0.75,Scarlet & Grey,392,871,1985,12,191,84,Sold,,,http://www.redfin.com/NV/Las-Vegas/797-E-Harmon-Ave-89119/unit-26/home/29504875,GLVAR,2189222,N,Y,36.1072953,-115.1464174
PAST SALE,February-10-2021,Multi-Family (2-4 Unit),5272 Maryland Pkwy,Las Vegas,NV,89119,561500,9,,Maryland Haciendas,4432,10454,1978,70,127,400,Sold,,,http://www.redfin.com/NV/Las-Vegas/5272-S-Maryland-Pkwy-89119/home/29512789,GLVAR,2255885,N,Y,36.0943212,-115.1362725
PAST SALE,January-29-2021,Condo/Co-op,1471 Living Desert Dr Unit C,Las Vegas,NV,89119,126500,3,2.25,Sundance Place,1196,,1973,82,106,265,Sold,,,http://www.redfin.com/NV/Las-Vegas/1471-Living-Desert-Dr-89119/unit-C/home/29505618,GLVAR,2219534,N,Y,36.1064884,-115.1333772
