SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,February-4-2021,Single Family Residential,7995 Rio Rico Dr,Las Vegas,NV,89113,675000,3,2.25,Links At Spanish Trail #1A,2964,7841,1989,78,228,260,Sold,,,http://www.redfin.com/NV/Las-Vegas/7995-Rio-Rico-Dr-89113/home/29583161,GLVAR,2256776,N,Y,36.0989489,-115.2661166
PAST SALE,February-12-2021,Single Family Residential,8230 River Rim Ct,Las Vegas,NV,89113,759900,4,3.0,Durango Ranch 2 Phase 1,3438,17860,2012,70,221,65,Sold,,,http://www.redfin.com/NV/Las-Vegas/8230-River-Rim-Ct-89113/home/52628586,GLVAR,2239097,N,Y,36.0242463,-115.2706545
PAST SALE,January-29-2021,Condo/Co-op,7189 Durango Dr #204,Las Vegas,NV,89113,166000,2,2.0,Vistana Condo,906,23227,2000,84,183,166,Sold,,,http://www.redfin.com/NV/Las-Vegas/7189-S-Durango-Dr-89113/unit-204/home/29589998,GLVAR,2248652,N,Y,36.0574843,-115.279781
PAST SALE,April-13-2021,Condo/Co-op,7189 Durango Dr #201,Las Vegas,NV,89113,161900,1,1.0,Vistana Condo,816,,2000,10,198,145,Sold,,,http://www.redfin.com/NV/Las-Vegas/7189-S-Durango-Dr-89113/unit-201/home/29590003,GLVAR,2270910,N,Y,36.0574843,-115.279781
PAST SALE,April-16-2021,Condo/Co-op,7173 S Durango Dr #305,Las Vegas,NV,89113,175500,1,1.0,Vistana Condo,685,,1999,7,256,135,Sold,,,http://www.redfin.com/NV/Las-Vegas/7173-S-Durango-Dr-89113/unit-305/home/29590228,GLVAR,2278626,N,Y,36.0582044,-115.2811886
PAST SALE,April-16-2021,Single Family Residential,8560 Foundry Branch Ln,Las Vegas,NV,89113,709000,4,3.25,Brookshire,3188,6098,2015,7,222,98,Sold,,,http://www.redfin.com/NV/Las-Vegas/8560-Foundry-Branch-Ln-89113/home/108520022,GLVAR,2269935,N,Y,36.0405174,-115.2769751
PAST SALE,,Single Family Residential,7433 Catmint St,Las Vegas,NV,89113,260900,3,2.5,,1502,1742,2006,,174,,,,,http://www.redfin.com/NV/Las-Vegas/7433-Catmint-St-89113/home/29035324,,,N,Y,36.0532258,-115.2519237
PAST SALE,February-12-2021,Single Family Residential,8480 Warbonnet Way,Las Vegas,NV,89113,830000,4,3.25,Warbonnet-Wigwam,3120,20038,2020,70,266,,Sold,,,http://www.redfin.com/NV/Las-Vegas/8480-Warbonnet-Way-89113/home/169232039,GLVAR,2250429,N,Y,36.0340266,-115.2650214
PAST SALE,February-3-2021,Single Family Residential,8990 Palazzi St,Las Vegas,NV,89113,829900,4,3.5,Canyon Falls Estates,3878,20038,2013,79,214,75,Sold,,,http://www.redfin.com/NV/Las-Vegas/8990-Palazzi-St-89113/home/52627240,GLVAR,2253450,N,Y,36.0251143,-115.2542854
PAST SALE,February-5-2021,Single Family Residential,8033 Misty Cyn,Las Vegas,NV,89113,427000,3,2.5,Badura Myers,2417,2614,2019,77,177,50,Sold,,,http://www.redfin.com/NV/Las-Vegas/8033-Misty-Canyon-Ave-89113/home/166602396,GLVAR,2193857,N,Y,36.0599911,-115.2663454
