SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,February-10-2021,Single Family Residential,7613 Tiffany Lamp Ct,Las Vegas,NV,89149,285000,3,2.5,Astoria At Town Center-North,1817,1742,2014,72,157,80,Sold,,,http://www.redfin.com/NV/Las-Vegas/7613-Tiffany-Lamp-Ct-89149/home/92904905,GLVAR,2259981,N,Y,36.2995975,-115.2901714
PAST SALE,February-10-2021,Single Family Residential,9077 Mastodon Ave,Las Vegas,NV,89149,425000,5,3.0,Oso Blanca & Grand Teton Phase I,2976,4792,2015,72,143,49,Sold,,,http://www.redfin.com/NV/Las-Vegas/9077-Mastodon-Ave-89149/home/101605272,GLVAR,2247315,N,Y,36.303098,-115.293644
PAST SALE,February-10-2021,Single Family Residential,9109 Tailor Made Ave,Las Vegas,NV,89149,245000,3,2.5,Astoria At Town Center-North,1298,1742,2006,72,189,80,Sold,,,http://www.redfin.com/NV/Las-Vegas/9109-Tailor-Made-Ave-89149/home/29050893,GLVAR,2253597,N,Y,36.299971,-115.2948478
PAST SALE,April-6-2021,Single Family Residential,6074 Skyline Point Dr,Las Vegas,NV,89149,1200000,4,4.0,Skyline Point,4711,21780,2016,17,255,195,Sold,,,http://www.redfin.com/NV/Las-Vegas/6074-Skyline-Point-Dr-89149/home/109650680,GLVAR,2268326,N,Y,36.2710852,-115.3187151
PAST SALE,,Single Family Residential,6470 N Sean Creek St,Las Vegas,NV,89149,308000,3,2.5,,1830,3485,2006,,168,,,,,http://www.redfin.com/NV/Las-Vegas/6470-N-Sean-Creek-St-89149/home/29595474,,,N,Y,36.2785759,-115.2917456
PAST SALE,February-24-2021,Single Family Residential,8952 Spotted Tail Ave,Las Vegas,NV,89149,350000,3,2.5,Twilight At Elkhorn Ranch,2231,4356,2005,58,157,40,Sold,,,http://www.redfin.com/NV/Las-Vegas/8952-Spotted-Tail-Ave-89149/home/29023873,GLVAR,2257655,N,Y,36.2902283,-115.2917919
PAST SALE,February-26-2021,Single Family Residential,8944 Snowtrack Ave,Las Vegas,NV,89149,352900,3,2.5,Twilight At Elkhorn Ranch,2231,4356,2005,56,158,40,Sold,,,http://www.redfin.com/NV/Las-Vegas/8944-Snowtrack-Ave-89149/home/29007262,GLVAR,2263588,N,Y,36.2908713,-115.291491
PAST SALE,February-19-2021,Single Family Residential,7704 Pine Falls Dr,Las Vegas,NV,89149,300000,3,1.75,Desert Creek Phase 2,1352,4356,1994,63,222,75,Sold,,,http://www.redfin.com/NV/Las-Vegas/7704-Pine-Falls-Dr-89149/home/29096173,GLVAR,2266361,N,Y,36.2664851,-115.2636856
PAST SALE,April-22-2021,Single Family Residential,5712 Pebble Rock Dr,Las Vegas,NV,89149,294000,3,2.5,Desert Creek Phase 2,1644,4792,1993,1,179,,Sold,,,http://www.redfin.com/NV/Las-Vegas/5712-Pebble-Rock-Dr-89149/home/29096541,GLVAR,2247800,N,Y,36.2656377,-115.2649821
PAST SALE,February-18-2021,Single Family Residential,5309 Jim Dent Way,Las Vegas,NV,89149,345000,3,2.0,Painted Desert Amd,1606,5227,1990,64,215,25,Sold,,,http://www.redfin.com/NV/Las-Vegas/5309-Jim-Dent-Way-89149/home/29099089,GLVAR,2261391,N,Y,36.2575387,-115.2634078
PAST SALE,March-5-2021,Townhouse,9132 Forest Willow Ave #102,Las Vegas,NV,89149,255000,3,2.5,High Noon At Elkhorn Ranch,1417,1307,2006,49,180,85,Sold,,,http://www.redfin.com/NV/Las-Vegas/9132-Forest-Willow-Ave-89149/unit-102/home/29023919,GLVAR,2254566,N,Y,36.289308,-115.295414
PAST SALE,March-1-2021,Single Family Residential,9306 Avon Park Ave,Las Vegas,NV,89149,379000,4,2.75,Town Center Assemblage L-Tc 55 #2,2383,5663,2006,53,159,50,Sold,,,http://www.redfin.com/NV/Las-Vegas/9306-Avon-Park-Ave-89149/home/29023972,GLVAR,2244139,N,Y,36.2896374,-115.299339
PAST SALE,,Single Family Residential,7405 Delectable Ct,Las Vegas,NV,89149,255000,3,2.5,,1451,1742,2005,,176,,,,,http://www.redfin.com/NV/Las-Vegas/7405-Delectable-Ct-89149/home/29022093,,,N,Y,36.2956895,-115.2955423
PAST SALE,February-2-2021,Single Family Residential,9217 Thunder Falls Ct,Las Vegas,NV,89149,350000,3,2.0,Town Center L-Tc 55 #4,1593,4792,2008,80,220,50,Sold,,,http://www.redfin.com/NV/Las-Vegas/9217-Thunder-Falls-Ct-89149/home/29274092,GLVAR,2258436,N,Y,36.2865699,-115.2978343
PAST SALE,March-3-2021,Single Family Residential,5021 Saint Annes Dr,Las Vegas,NV,89149,352500,3,2.5,Portraits At Painted Desert Phase 2,1989,4792,1989,51,177,50,Sold,,,http://www.redfin.com/NV/Las-Vegas/5021-St-Annes-Dr-89149/home/29100273,GLVAR,2248181,N,Y,36.2524414,-115.2491915
PAST SALE,March-8-2021,Single Family Residential,5036 Forest Oaks Dr,Las Vegas,NV,89149,355000,4,3.5,Portraits At Painted Desert Phase 2,2260,4356,1994,46,157,38,Sold,,,http://www.redfin.com/NV/Las-Vegas/5036-Forest-Oaks-Dr-89149/home/29100235,GLVAR,2242493,N,Y,36.2530571,-115.2482191
PAST SALE,February-26-2021,Single Family Residential,8220 Antler Pines Ct,Las Vegas,NV,89149,435000,4,2.5,Deer Spgs Ranch,2821,6970,1998,56,154,32,Sold,,,http://www.redfin.com/NV/Las-Vegas/8220-Antler-Pines-Ct-89149/home/29091905,GLVAR,2256307,N,Y,36.2826554,-115.2754007
PAST SALE,April-8-2021,Single Family Residential,4995 Dapple Gray Rd,Las Vegas,NV,89149,1000000,6,5.0,,5800,23522,2016,15,172,,Sold,,,http://www.redfin.com/NV/Las-Vegas/4995-N-Dapple-Gray-Rd-89149/home/109573530,GLVAR,2269230,N,Y,36.2515908,-115.2955348
PAST SALE,March-30-2021,Single Family Residential,5265 N El Capitan Way,Las Vegas,NV,89149,530000,3,1.5,,2052,21344,1983,24,258,,Sold,,,http://www.redfin.com/NV/Las-Vegas/5265-N-El-Capitan-Way-89149/home/29097618,GLVAR,2272183,N,Y,36.2567106,-115.2892916
PAST SALE,,Single Family Residential,8336 Fawn Brook Ct,Las Vegas,NV,89149,470000,4,2.5,,2289,11761,1998,,205,,,,,http://www.redfin.com/NV/Las-Vegas/8336-Fawn-Brook-Ct-89149/home/29091952,,,N,Y,36.2837419,-115.2785031
PAST SALE,March-17-2021,Single Family Residential,8528 Lawsonia Ct,Las Vegas,NV,89149,307000,4,2.5,Brookside,1899,3049,2006,37,162,75,Sold,,,http://www.redfin.com/NV/Las-Vegas/8528-Lawsonia-Ct-89149/home/29051216,GLVAR,2269759,N,Y,36.283324,-115.281541
PAST SALE,April-15-2021,Single Family Residential,8431 Sequoia Grove Ave,Las Vegas,NV,89149,317000,4,2.5,Deer Spgs Durango,1723,2614,2007,8,184,59,Sold,,,http://www.redfin.com/NV/Las-Vegas/8431-Sequoia-Grove-Ave-89149/home/29275530,GLVAR,2276268,N,Y,36.2840741,-115.2798459
PAST SALE,April-21-2021,Single Family Residential,6708 Biltmore Garden St,Las Vegas,NV,89149,325000,3,2.5,Brookside,1763,2614,2007,2,184,75,Sold,,,http://www.redfin.com/NV/Las-Vegas/6708-Biltmore-Garden-St-89149/home/29051342,GLVAR,2280005,N,Y,36.2829178,-115.282161
PAST SALE,April-22-2021,Single Family Residential,6820 Calvitero St,Las Vegas,NV,89149,404663,5,4.0,Landings at Montecito,2469,3049,2021,1,164,40,Sold,,,http://www.redfin.com/NV/Las-Vegas/6820-Calvitero-St-89149/home/170654152,GLVAR,2265860,N,Y,36.285175,-115.28027
PAST SALE,January-28-2021,Single Family Residential,8928 Cambridge Glen Ct,Las Vegas,NV,89149,313000,3,2.5,Centennial Park,1837,2614,2005,85,170,65,Sold,,,http://www.redfin.com/NV/Las-Vegas/8928-Cambridge-Glen-Ct-89149/home/29007953,GLVAR,2259022,N,Y,36.2940446,-115.2910511
PAST SALE,February-19-2021,Single Family Residential,8936 Glass Gallery Ct,Las Vegas,NV,89149,290000,3,2.5,Astoria At Town Center-North,1817,1742,2015,63,160,80,Sold,,,http://www.redfin.com/NV/Las-Vegas/8936-Glass-Gallery-Ct-89149/home/92907175,GLVAR,2261063,N,Y,36.300484,-115.290979
PAST SALE,,Single Family Residential,8933 Drummer Bay Ave,Las Vegas,NV,89149,353000,4,2.5,,2037,3049,2017,,173,,,,,http://www.redfin.com/NV/Las-Vegas/8933-Drummer-Bay-Ave-89149/home/113730207,,,N,Y,36.2811336,-115.2911347
PAST SALE,April-7-2021,Single Family Residential,6871 Relic St,Las Vegas,NV,89149,325000,3,2.5,Concordia At Deer Spgs,1994,3049,2003,16,163,50,Sold,,,http://www.redfin.com/NV/Las-Vegas/6871-Relic-St-89149/home/29953931,GLVAR,2276568,N,Y,36.2858147,-115.2909585
PAST SALE,March-31-2021,Single Family Residential,8942 Bucco Reef Ave,Las Vegas,NV,89149,353500,3,2.5,Deer Spgs Phase 2,1731,3049,2017,23,204,99,Sold,,,http://www.redfin.com/NV/Las-Vegas/8942-Bucco-Reef-Ave-89149/home/146416765,GLVAR,2278224,N,Y,36.2825046,-115.291047
PAST SALE,April-21-2021,Single Family Residential,8950 Ryan Creek Ave,Las Vegas,NV,89149,340000,3,2.5,Centennial Pkwy & Fort Apache East,1988,3485,2006,2,171,42,Sold,,,http://www.redfin.com/NV/Las-Vegas/8950-W-Ryan-Creek-Ave-89149/home/29595469,GLVAR,2277271,N,Y,36.2789788,-115.29119
PAST SALE,,Single Family Residential,9769 Glistening Brook Ct,Las Vegas,NV,89149,100000,4,5.5,,5039,18295,2008,,20,,,,,http://www.redfin.com/NV/Las-Vegas/9769-Glistening-Brook-Ct-89149/home/29180036,,,N,Y,36.2582313,-115.3099185
PAST SALE,March-30-2021,Single Family Residential,4925 Conquistador St,Las Vegas,NV,89149,960000,3,4.0,custom,4800,44431,2001,24,200,,Sold,,,http://www.redfin.com/NV/Las-Vegas/4925-N-Conquistador-St-89149/home/29096656,GLVAR,2235106,N,Y,36.2500094,-115.3108656
