SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,March-2-2021,Single Family Residential,2630 Infinity Bay Ct,Las Vegas,NV,89146,412000,4,2.5,Duneville & Laredo,2380,4356,2019,52,173,79,Sold,,,http://www.redfin.com/NV/Las-Vegas/2630-Infinity-Bay-Ct-89146/home/167727518,GLVAR,2246366,N,Y,36.141846,-115.220103
PAST SALE,March-8-2021,Single Family Residential,5738 Eldora Ave,Las Vegas,NV,89146,585000,5,4.0,Fountain Hill Pak,3572,20038,1979,46,164,,Sold,,,http://www.redfin.com/NV/Las-Vegas/5738-Eldora-Ave-89146/home/29538600,GLVAR,2258852,N,Y,36.1408544,-115.2200856
PAST SALE,March-11-2021,Single Family Residential,3346 Tiara Point Cir,Las Vegas,NV,89146,480000,3,2.5,Tiara Court West Sub,2349,8276,2005,43,204,64,Sold,,,http://www.redfin.com/NV/Las-Vegas/3346-Tiara-Point-Cir-89146/home/29540648,GLVAR,2266066,N,Y,36.1286197,-115.2168438
PAST SALE,April-9-2021,Single Family Residential,3260 Westwind Rd,Las Vegas,NV,89146,800000,4,3.5,,3982,31799,1980,14,201,,Sold,,,http://www.redfin.com/NV/Las-Vegas/3260-Westwind-Rd-89146/home/29539239,GLVAR,2225653,N,Y,36.1304797,-115.21777
PAST SALE,February-23-2021,Condo/Co-op,1800 Edmond St #164,Las Vegas,NV,89146,151000,2,1.75,El Parque Condo,926,926,1991,59,163,135,Sold,,,http://www.redfin.com/NV/Las-Vegas/1800-S-Edmond-St-89146/unit-164/home/29518229,GLVAR,2263127,N,Y,36.1514187,-115.2109157
PAST SALE,March-10-2021,Condo/Co-op,1800 Edmond St #124,Las Vegas,NV,89146,156500,2,1.75,El Parque Condo,926,,1993,44,169,145,Sold,,,http://www.redfin.com/NV/Las-Vegas/1800-S-Edmond-St-89146/unit-124/home/29518295,GLVAR,2251805,N,Y,36.1514187,-115.2109157
PAST SALE,March-15-2021,Single Family Residential,5333 Oakey Blvd,Las Vegas,NV,89146,400000,4,1.75,,2074,22651,1961,39,193,,Sold,,,http://www.redfin.com/NV/Las-Vegas/5333-W-Oakey-Blvd-89146/home/29518254,GLVAR,2250419,N,Y,36.1514706,-115.2132545
PAST SALE,April-1-2021,Condo/Co-op,1800 Edmond St #105,Las Vegas,NV,89146,155000,2,2.0,El Parque Condo,926,926,1993,22,167,150,Sold,,,http://www.redfin.com/NV/Las-Vegas/1800-S-Edmond-St-89146/unit-105/home/29518313,GLVAR,2278790,N,Y,36.1514187,-115.2109157
PAST SALE,March-11-2021,Single Family Residential,6320 Bluejay Way,Las Vegas,NV,89146,382700,4,2.75,Sahara Lewis Homes,2361,7841,1978,43,162,,Sold,,,http://www.redfin.com/NV/Las-Vegas/6320-Blue-Jay-Way-89146/home/29519850,GLVAR,2257970,N,Y,36.1502349,-115.2318719
PAST SALE,April-22-2021,Single Family Residential,6220 Obannon Dr,Las Vegas,NV,89146,370000,4,2.0,Sahara Lewis Homes,1861,7841,1978,1,199,,Sold,,,http://www.redfin.com/NV/Las-Vegas/6220-O-Bannon-Dr-89146/home/29520203,GLVAR,2272941,N,Y,36.148196,-115.2295332
