SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,March-31-2021,Single Family Residential,4716 Mohawk River Ave,North Las Vegas,NV,89031,425000,4,3.0,Riverwalk Ranch Manor Estate,2357,7405,2007,21,180,20,Sold,,,http://www.redfin.com/NV/North-Las-Vegas/4716-Mohawk-River-Ave-89031/home/29597263,GLVAR,2270517,N,Y,36.2660134,-115.2061917
PAST SALE,January-28-2021,Single Family Residential,5616 Manzanita Trail St Lot 58,North Las Vegas,NV,89031,454000,5,3.5,Sedona Ranch,3166,5663,2020,83,143,47,Sold,,,http://www.redfin.com/NV/North-Las-Vegas/5616-Manzanita-Trail-St-89031/unit-58/home/173227236,GLVAR,2233204,N,Y,36.2623375,-115.1399826
PAST SALE,January-29-2021,Single Family Residential,3514 Ocatillo Mesa Way,North Las Vegas,NV,89031,320000,4,3.0,Schelling Estate Tr 1,2222,6098,2002,82,144,30,Sold,,,http://www.redfin.com/NV/North-Las-Vegas/3514-Ocatillo-Mesa-Way-89031/home/29892136,GLVAR,2257597,N,Y,36.2521705,-115.1876422
PAST SALE,January-26-2021,Single Family Residential,4532 Silverwind Rd,North Las Vegas,NV,89031,325000,4,2.0,Riverwalk Ranch Cove,1756,6098,2009,85,185,20,Sold,,,http://www.redfin.com/NV/North-Las-Vegas/4532-Silverwind-Rd-89031/home/30288569,GLVAR,2243225,N,Y,36.265004,-115.2039686
PAST SALE,February-5-2021,Single Family Residential,6041 Stern Cove Ct,North Las Vegas,NV,89031,357000,4,2.5,Riverwalk Ranch Twilight,2325,4792,2010,75,154,53,Sold,,,http://www.redfin.com/NV/North-Las-Vegas/6041-Stern-Cove-Ct-89031/home/39552375,GLVAR,2224975,N,Y,36.2702784,-115.2010739
PAST SALE,February-2-2021,Single Family Residential,4921 Finca St,North Las Vegas,NV,89031,350900,4,2.5,LA MADRE,1958,4356,2020,78,179,39,Sold,,,http://www.redfin.com/NV/North-Las-Vegas/Finca-St-89031/home/171695390,GLVAR,2258958,N,Y,36.2478,-115.1395
PAST SALE,January-29-2021,Single Family Residential,2018 El Campo Grande Ave,North Las Vegas,NV,89031,315000,4,2.0,Clayton El Campo Grande,1920,6098,2006,82,164,21,Sold,,,http://www.redfin.com/NV/North-Las-Vegas/2018-W-El-Campo-Grande-Ave-89031/home/29049341,GLVAR,2240384,N,Y,36.2657232,-115.1712919
PAST SALE,February-1-2021,Single Family Residential,2723 Frangipani Ct,North Las Vegas,NV,89031,287000,4,2.0,Tropical Breeze,1646,6098,1999,79,174,,Sold,,,http://www.redfin.com/NV/North-Las-Vegas/2723-Frangipani-Ct-89031/home/29079652,GLVAR,2256356,N,Y,36.2707489,-115.1789808
PAST SALE,February-12-2021,Single Family Residential,1942 Barrel Oak Ave Ave,North Las Vegas,NV,89031,310000,4,2.5,Eldorado Rcl #22 Tm #20 Phase 3,1984,3920,2007,68,156,21,Sold,,,http://www.redfin.com/NV/North-Las-Vegas/1942-Barrel-Oak-Ave-89031/home/29059984,GLVAR,2260427,N,Y,36.2614545,-115.1703192
PAST SALE,January-22-2021,Single Family Residential,5725 Bullhead St,North Las Vegas,NV,89031,360000,4,2.0,Riverwalk Ranch Cove,2397,6534,2009,89,150,39,Sold,,,http://www.redfin.com/NV/North-Las-Vegas/5725-Bullhead-St-89031/home/29477231,GLVAR,2257251,N,Y,36.2642303,-115.2034359
PAST SALE,March-5-2021,Townhouse,4650 Ranch House Rd #108,North Las Vegas,NV,89031,270000,4,3.25,MONTEVERDI,2026,1307,2008,47,133,225,Sold,,,http://www.redfin.com/NV/North-Las-Vegas/4650-Ranch-House-Rd-89031/unit-108/home/29779185,GLVAR,2154927,N,Y,36.2733483,-115.2041377
