SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,April-1-2021,Single Family Residential,3753 Avondale Breeze Ave,North Las Vegas,NV,89081,355000,2,1.75,Runvee Hobart,1460,5227,2010,22,243,210,Sold,,,http://www.redfin.com/NV/North-Las-Vegas/3753-Avondale-Breeze-Ave-89081/home/30166890,GLVAR,2276936,N,Y,36.264861,-115.0920759
PAST SALE,April-9-2021,Single Family Residential,3729 Pecos Park Ave,North Las Vegas,NV,89081,342000,3,2.5,Pecos Park By Avante Homes,1960,5227,2007,14,174,43,Sold,,,http://www.redfin.com/NV/North-Las-Vegas/3729-Pecos-Park-Ave-89081/home/29016145,GLVAR,2270963,N,Y,36.273215,-115.0923746
PAST SALE,February-5-2021,Single Family Residential,5117 Blue Rose St,North Las Vegas,NV,89081,315000,4,2.5,Lone Mountain Losee,2302,4356,2007,77,137,55,Sold,,,http://www.redfin.com/NV/North-Las-Vegas/5117-Blue-Rose-St-89081/home/29270866,GLVAR,2257992,N,Y,36.2529987,-115.1209851
PAST SALE,February-19-2021,Single Family Residential,5228 Grand Lake St,North Las Vegas,NV,89081,353000,5,2.75,Ann Losee Village 5,2527,5227,2007,63,140,65,Sold,,,http://www.redfin.com/NV/North-Las-Vegas/5228-Grand-Lake-St-89081/home/29312406,GLVAR,2259651,N,Y,36.2553248,-115.1196416
PAST SALE,February-9-2021,Single Family Residential,2605 Cattrack Ave,North Las Vegas,NV,89081,332900,5,3.0,SHADOWS-UNIT 4,3080,7841,2006,73,108,60,Sold,,,http://www.redfin.com/NV/North-Las-Vegas/2605-Cattrack-Ave-89081/home/29048725,GLVAR,2120484,N,Y,36.2617408,-115.1146614
PAST SALE,March-29-2021,Single Family Residential,6132 Alderley Ct,North Las Vegas,NV,89081,344000,4,3.0,Centennial Azure,1902,6098,2006,25,181,78,Sold,,,http://www.redfin.com/NV/North-Las-Vegas/6132-Alderley-Ct-89081/home/29047801,GLVAR,2273015,N,Y,36.271793,-115.1104688
PAST SALE,March-25-2021,Single Family Residential,5024 Blue Rose St,North Las Vegas,NV,89081,279900,4,3.0,LONE MOUNTAIN LOSEE UNIT 3,2442,4356,2006,29,115,55,Sold,,,http://www.redfin.com/NV/North-Las-Vegas/5024-Blue-Rose-St-89081/home/29270881,GLVAR,2024573,N,Y,36.2513942,-115.1205218
PAST SALE,,Single Family Residential,2865 Vigilante Ct,North Las Vegas,NV,89081,331111,5,3.0,,2123,3485,2005,,156,,,,,http://www.redfin.com/NV/North-Las-Vegas/2865-Vigilante-Ct-89081/home/29019104,,,N,Y,36.2730016,-115.1096812
PAST SALE,February-12-2021,Single Family Residential,6121 Mott Smith St,North Las Vegas,NV,89081,424500,5,4.0,Tropical Walnut,3395,6534,2006,70,125,28,Sold,,,http://www.redfin.com/NV/North-Las-Vegas/6121-Mott-Smith-St-89081/home/29178243,GLVAR,2260774,N,Y,36.271868,-115.0864004
PAST SALE,January-29-2021,Single Family Residential,3913 Blue Lily Ct,North Las Vegas,NV,89081,290000,3,2.0,Laurel Canyon,1754,5227,2010,84,165,42,Sold,,,http://www.redfin.com/NV/North-Las-Vegas/3913-Blue-Lily-Ct-89081/home/30167416,GLVAR,2259328,N,Y,36.2586777,-115.0889023
PAST SALE,February-5-2021,Single Family Residential,5744 Clear Haven Ln,North Las Vegas,NV,89081,315000,4,3.0,Runvee Hobart East Parcel 3A-2,1988,4792,2015,77,158,52,Sold,,,http://www.redfin.com/NV/North-Las-Vegas/5744-Clear-Haven-Ln-89081/home/109620967,GLVAR,2237598,N,Y,36.2651032,-115.0838753
PAST SALE,February-22-2021,Single Family Residential,6340 Gulf Waters St,North Las Vegas,NV,89081,325000,3,2.25,Centennial & Lamb,1841,3485,2019,60,177,66,Sold,,,http://www.redfin.com/NV/North-Las-Vegas/6340-Gulf-Waters-St-89081/home/167594487,GLVAR,2262775,N,Y,36.2759194,-115.0812249
PAST SALE,February-17-2021,Condo/Co-op,6316 Desert Leaf St #101,North Las Vegas,NV,89081,192000,3,2.5,Centennial Highlands,1253,,2005,65,153,180,Sold,,,http://www.redfin.com/NV/North-Las-Vegas/6316-Desert-Leaf-St-89081/unit-101/home/94336693,GLVAR,2257777,N,Y,36.2753873,-115.0886938
PAST SALE,February-19-2021,Single Family Residential,4017 Yellow Mandarin Ave,North Las Vegas,NV,89081,287250,3,2.0,LAUREL CANYON UNIT 3A,1615,4792,2008,63,178,38,Sold,,,http://www.redfin.com/NV/North-Las-Vegas/4017-Yellow-Mandarin-Ave-89081/home/29265671,GLVAR,2158386,N,Y,36.2607088,-115.0866552
PAST SALE,February-10-2021,Single Family Residential,6245 Halstead Ct,North Las Vegas,NV,89081,332000,3,2.5,Shadow Spgs,2040,4356,2006,72,163,56,Sold,,,http://www.redfin.com/NV/North-Las-Vegas/6245-Halstead-Ct-89081/home/29049205,GLVAR,2260152,N,Y,36.274025,-115.10528
PAST SALE,February-8-2021,Single Family Residential,3228 Aspinwall Ct,North Las Vegas,NV,89081,350000,5,2.75,Shadow Spgs,2784,4792,2005,74,126,47,Sold,,,http://www.redfin.com/NV/North-Las-Vegas/3228-Aspinwall-Ct-89081/home/29019167,GLVAR,2257101,N,Y,36.2725052,-115.1031952
PAST SALE,January-29-2021,Single Family Residential,5709 Nobleton Ct,North Las Vegas,NV,89081,305000,4,2.5,Ann Losee Village 2,1997,3485,2011,84,153,65,Sold,,,http://www.redfin.com/NV/North-Las-Vegas/5709-Nobleton-Ct-89081/home/40348395,GLVAR,2258771,N,Y,36.2635569,-115.1185298
PAST SALE,February-1-2021,Single Family Residential,3753 Rocklin Peak Ave,North Las Vegas,NV,89081,360000,2,2.0,Runvee Hobart,1460,4356,2014,81,247,210,Sold,,,http://www.redfin.com/NV/North-Las-Vegas/3753-Rocklin-Peak-Ave-89081/home/65549953,GLVAR,2257317,N,Y,36.2677503,-115.0921223
PAST SALE,January-29-2021,Single Family Residential,5625 Sagamore Canyon St,North Las Vegas,NV,89081,383000,2,2.0,Runvee Hobart,1885,5227,2016,84,203,208,Sold,,,http://www.redfin.com/NV/North-Las-Vegas/5625-Sagamore-Canyon-St-89081/home/113136706,GLVAR,2256852,N,Y,36.2624689,-115.0974503
PAST SALE,January-29-2021,Single Family Residential,3665 Bella Legato Ave,North Las Vegas,NV,89081,295000,3,2.0,Runvee Hobart,1907,9148,2007,84,155,99,Sold,,,http://www.redfin.com/NV/North-Las-Vegas/3665-Bella-Legato-Ave-89081/home/29264773,GLVAR,2241183,N,Y,36.2589697,-115.0939987
PAST SALE,February-5-2021,Single Family Residential,5224 Pendergrass St,North Las Vegas,NV,89081,270000,3,2.5,Ann Losee Village 6,1726,3049,2007,77,156,86,Sold,,,http://www.redfin.com/NV/North-Las-Vegas/5224-Pendergrass-St-89081/home/29312477,GLVAR,2239395,N,Y,36.2549879,-115.1174179
PAST SALE,February-17-2021,Single Family Residential,4121 Carol Bailey Ave,North Las Vegas,NV,89081,360000,5,3.0,Runvee Hobart East Parcel 3A-1,2931,4356,2017,65,123,52,Sold,,,http://www.redfin.com/NV/North-Las-Vegas/4121-Carol-Bailey-Ave-89081/home/143185722,GLVAR,2244517,N,Y,36.268535,-115.084082
PAST SALE,February-4-2021,Single Family Residential,6227 Darby Creek Ct,North Las Vegas,NV,89081,385000,5,3.5,Sunflower 1,3520,6970,2005,78,109,36,Sold,,,http://www.redfin.com/NV/North-Las-Vegas/6227-Darby-Creek-Ct-89081/home/29009654,GLVAR,2244358,N,Y,36.2743199,-115.0853811
PAST SALE,March-1-2021,Single Family Residential,4133 Free Bird Crest Ave,North Las Vegas,NV,89081,362500,5,3.0,Runvee Hobart East Parcel 3A-1,2662,6098,2017,53,136,62,Sold,,,http://www.redfin.com/NV/North-Las-Vegas/4133-Free-Bird-Crest-Ave-89081/home/144161223,GLVAR,2256818,N,Y,36.267866,-115.083622
PAST SALE,March-5-2021,Single Family Residential,3048 Balcones Fault Ave,North Las Vegas,NV,89081,315000,4,2.75,Centennial Azure,1788,3485,2005,49,176,65,Sold,,,http://www.redfin.com/NV/North-Las-Vegas/3048-Balcones-Fault-Ave-89081/home/29019043,GLVAR,2258783,N,Y,36.274462,-115.1063455
PAST SALE,,Single Family Residential,5605 Awakening St,North Las Vegas,NV,89081,340060,4,4.0,,2942,7841,2005,,116,,,,,http://www.redfin.com/NV/North-Las-Vegas/5605-Awakening-St-89081/home/29049499,,,N,Y,36.2620231,-115.1077122
PAST SALE,February-2-2021,Single Family Residential,5629 Easter Island Pl,North Las Vegas,NV,89081,317000,3,2.0,Runvee Hobart East Parcel 3B,1588,6098,2016,80,200,56,Sold,,,http://www.redfin.com/NV/North-Las-Vegas/5629-Easter-Island-Pl-89081/home/143173600,GLVAR,2253938,N,Y,36.262695,-115.0866552
PAST SALE,February-1-2021,Single Family Residential,1008 Shades End Ave,North Las Vegas,NV,89081,290000,3,2.5,Centennial Bruce West 40,1788,2178,2006,81,162,78,Sold,,,http://www.redfin.com/NV/North-Las-Vegas/1008-Shades-End-Ave-89081/home/29019602,GLVAR,2250960,N,Y,36.275194,-115.1289995
PAST SALE,January-27-2021,Single Family Residential,4112 Free Bird Crest Ave,North Las Vegas,NV,89081,360000,5,2.75,Runvee Hobart East Parcel 3A-1,3076,4356,2017,86,117,55,Sold,,,http://www.redfin.com/NV/North-Las-Vegas/4112-Free-Bird-Crest-Ave-89081/home/131411138,GLVAR,2244546,N,Y,36.268257,-115.084384
PAST SALE,January-28-2021,Single Family Residential,6305 Mercer Valley St,North Las Vegas,NV,89081,315000,4,2.5,Shadow Spgs,2381,4356,2004,85,132,54,Sold,,,http://www.redfin.com/NV/North-Las-Vegas/6305-Mercer-Valley-St-89081/home/28981594,GLVAR,2239322,N,Y,36.2746825,-115.1028708
PAST SALE,,Single Family Residential,3113 Winter Sunset Ave,North Las Vegas,NV,89081,303517,4,3.0,,2294,7405,2005,,132,,,,,http://www.redfin.com/NV/North-Las-Vegas/3113-Winter-Sunset-Ave-89081/home/29049606,,,N,Y,36.2617497,-115.1050252
PAST SALE,February-11-2021,Single Family Residential,6150 Darnley St,North Las Vegas,NV,89081,325000,3,2.5,Centennial Azure,2344,4792,2005,71,139,65,Sold,,,http://www.redfin.com/NV/North-Las-Vegas/6150-Darnley-St-89081/home/29044010,GLVAR,2249771,N,Y,36.2719827,-115.1081987
PAST SALE,February-17-2021,Single Family Residential,2109 Pelican Sky Beach Ave,North Las Vegas,NV,89081,305000,3,2.0,Tropical & Lawrence,1783,4356,2007,65,171,47,Sold,,,http://www.redfin.com/NV/North-Las-Vegas/2109-Pelican-Sky-Beach-Ave-89081/home/29477098,GLVAR,2261431,N,Y,36.2682658,-115.1203828
PAST SALE,March-8-2021,Single Family Residential,5937 Grey Goose St,North Las Vegas,NV,89081,345000,4,2.75,Geyser Peak 2,2482,6098,2008,46,139,47,Sold,,,http://www.redfin.com/NV/North-Las-Vegas/5937-Grey-Goose-St-89081/home/29049490,GLVAR,2215637,N,Y,36.2684829,-115.130065
PAST SALE,February-18-2021,Single Family Residential,3833 Carisbrook Dr,North Las Vegas,NV,89081,317000,3,2.5,Sunrise Canyon,2001,3485,2005,64,158,63,Sold,,,http://www.redfin.com/NV/North-Las-Vegas/3833-E-Carisbrook-Dr-89081/home/29015546,GLVAR,2261347,N,Y,36.2714951,-115.0908422
PAST SALE,February-17-2021,Single Family Residential,1023 Edgestone Mark Ave,North Las Vegas,NV,89081,280000,3,2.0,Cobblestone Ridge North 80,1475,5227,2002,65,190,14,Sold,,,http://www.redfin.com/NV/North-Las-Vegas/1023-Edgestone-Mark-Ave-89081/home/29854430,GLVAR,2260244,N,Y,36.2490683,-115.1282583
PAST SALE,January-29-2021,Single Family Residential,6204 Standing Elm St,North Las Vegas,NV,89081,235000,3,2.5,Centennial Bruce West 40,1364,2614,2004,84,172,72,Sold,,,http://www.redfin.com/NV/North-Las-Vegas/6204-Standing-Elm-St-89081/home/28997665,GLVAR,2255246,N,Y,36.2730241,-115.1264516
PAST SALE,,Single Family Residential,6138 Sydney Bay Ct,North Las Vegas,NV,89081,300100,4,2.0,,1656,4792,2005,,181,,,,,http://www.redfin.com/NV/North-Las-Vegas/6138-Sydney-Bay-Ct-89081/home/29044709,,,N,Y,36.271558,-115.1090326
PAST SALE,February-2-2021,Single Family Residential,4057 Carol Bailey Ave,North Las Vegas,NV,89081,380000,5,5.5,Runvee Hobart East Parcel 3A-1,3105,4792,2007,80,122,52,Sold,,,http://www.redfin.com/NV/North-Las-Vegas/4057-Carol-Bailey-Ave-89081/home/29758471,GLVAR,2232132,N,Y,36.2684697,-115.0849873
PAST SALE,March-5-2021,Single Family Residential,3006 Risen Star St,North Las Vegas,NV,89081,411244,3,2.0,Palmer Ranch - The Heights,1885,5830,2020,49,218,72,Sold,,,http://www.redfin.com/NV/North-Las-Vegas/3006-Risen-Star-ST-89081/home/172762902,GLVAR,2222541,N,Y,36.266572,-115.0999753
PAST SALE,March-11-2021,Single Family Residential,5609 Distant Drum St,North Las Vegas,NV,89081,326500,3,2.5,Rose Lake,1689,6098,2006,43,193,32,Sold,,,http://www.redfin.com/NV/North-Las-Vegas/5609-Distant-Drum-St-89081/home/29048842,GLVAR,2267792,N,Y,36.2622786,-115.1031025
PAST SALE,February-19-2021,Single Family Residential,6312 Legend Falls St,North Las Vegas,NV,89081,275000,3,2.0,Pecos Park By Avante Homes,1467,4792,2005,63,187,43,Sold,,,http://www.redfin.com/NV/North-Las-Vegas/6312-Legend-Falls-St-89081/home/29008754,GLVAR,2260835,N,Y,36.2752366,-115.0932805
PAST SALE,February-22-2021,Single Family Residential,3121 Country Dancer Ave,North Las Vegas,NV,89081,355000,4,2.75,Rose Lake,2257,6534,2009,60,157,33,Sold,,,http://www.redfin.com/NV/North-Las-Vegas/3121-Country-Dancer-Ave-89081/home/29049015,GLVAR,2259665,N,Y,36.2646673,-115.1046777
PAST SALE,,Single Family Residential,1211 Pebble Crest Ct,North Las Vegas,NV,89081,325000,4,2.5,,1965,10454,1997,,165,,,,,http://www.redfin.com/NV/North-Las-Vegas/1211-Pebble-Crest-Ct-89081/home/29235900,,,N,Y,36.2453204,-115.1265442
PAST SALE,February-24-2021,Single Family Residential,4917 Celsion  Rock St,North Las Vegas,NV,89081,345000,4,3.0,Galena Pointe,2553,6098,2004,58,135,25,Sold,,,http://www.redfin.com/NV/North-Las-Vegas/4917-Celsion-Rock-St-89081/home/28982647,GLVAR,2238686,N,Y,36.2493186,-115.1344195
PAST SALE,February-26-2021,Single Family Residential,4602 Rockpine Dr,North Las Vegas,NV,89081,335000,4,2.0,Cobblestone Ridge Parcel 1 Phase 2,1934,6534,1998,56,173,,Sold,,,http://www.redfin.com/NV/North-Las-Vegas/4602-Rockpine-Dr-89081/home/29235890,GLVAR,2236812,N,Y,36.2434276,-115.1293238
PAST SALE,February-26-2021,Single Family Residential,2404 Farm Bridge Ave,North Las Vegas,NV,89081,305000,4,2.5,Ann Losee Village 4,1822,3920,2007,56,167,,Sold,,,http://www.redfin.com/NV/North-Las-Vegas/2404-Farm-Bridge-Ave-89081/home/29312821,GLVAR,2262214,N,Y,36.260376,-115.1178349
PAST SALE,February-18-2021,Single Family Residential,2112 Puffer Beach Ct,North Las Vegas,NV,89081,265000,3,2.0,Tropical & Lawrence,1352,4792,2007,64,196,47,Sold,,,http://www.redfin.com/NV/North-Las-Vegas/2112-Puffer-Beach-Ct-89081/home/29477108,GLVAR,2260375,N,Y,36.2672643,-115.1202439
PAST SALE,February-22-2021,Single Family Residential,5917 Galway Bay St,North Las Vegas,NV,89081,348500,4,2.5,Runvee Hobart East Parcel 3A-1,2419,4792,2016,60,144,52,Sold,,,http://www.redfin.com/NV/North-Las-Vegas/5917-Galway-Bay-St-89081/home/108522847,GLVAR,2259452,N,Y,36.2676681,-115.0891108
PAST SALE,February-23-2021,Single Family Residential,2912 Vigilante,North Las Vegas,NV,89081,322500,4,2.75,Centennial Azure Unit 1,2321,3920,2006,59,139,78,Sold,,,http://www.redfin.com/NV/North-Las-Vegas/2912-Vigilante-Ct-89081/home/29018855,GLVAR,2193410,N,Y,36.273409,-115.1085693
PAST SALE,March-1-2021,Single Family Residential,3904 Carla Ann Rd,North Las Vegas,NV,89081,350000,4,3.5,Runvee Hobart East Parcel 3B,2614,5227,2008,53,134,60,Sold,,,http://www.redfin.com/NV/North-Las-Vegas/3904-E-Carla-Ann-Rd-89081/home/29597299,GLVAR,2250769,N,Y,36.2617478,-115.0892961
PAST SALE,March-1-2021,Single Family Residential,3121 Gannon Ridge Ave,North Las Vegas,NV,89081,287000,3,2.0,Shadow Spgs,1728,4792,2004,53,166,48,Sold,,,http://www.redfin.com/NV/North-Las-Vegas/3121-E-Gannon-Ridge-Ave-89081/home/28982099,GLVAR,2262828,N,Y,36.2720937,-115.1053031
PAST SALE,March-3-2021,Single Family Residential,3172 Calamus Pointe Ave,North Las Vegas,NV,89081,290000,3,2.0,Shadow Spgs,1888,6098,2004,51,154,52,Sold,,,http://www.redfin.com/NV/North-Las-Vegas/3172-Calamus-Pointe-Ave-89081/home/29007455,GLVAR,2266567,N,Y,36.2705194,-115.1031952
PAST SALE,March-8-2021,Single Family Residential,6223 Fort Worth St,North Las Vegas,NV,89081,290000,3,2.5,Pecos Park By Avante Homes,1644,4792,2006,46,176,43,Sold,,,http://www.redfin.com/NV/North-Las-Vegas/6223-Fort-Worth-St-89081/home/29016131,GLVAR,2265173,N,Y,36.273909,-115.091199
PAST SALE,March-8-2021,Single Family Residential,5820 Sagamore Canyon St,North Las Vegas,NV,89081,400000,3,2.0,Runvee Hobart,2154,6534,2006,46,186,210,Sold,,,http://www.redfin.com/NV/North-Las-Vegas/5820-Sagamore-Canyon-St-89081/home/29263828,GLVAR,2261812,N,Y,36.2659694,-115.0968943
PAST SALE,March-26-2021,Single Family Residential,2511 Dollison Ave,North Las Vegas,NV,89081,407184,4,2.5,BINION 20,2416,4162,2021,28,169,,Sold,,,http://www.redfin.com/NV/North-Las-Vegas/2511-Dollison-Ave-89081/home/170137153,GLVAR,2264179,N,Y,36.276,-115.116556
PAST SALE,March-25-2021,Single Family Residential,3023 Misty Pine Ave Lot 39,North Las Vegas,NV,89081,373733,4,3.0,Cielo Vista,2532,3485,2020,29,148,65,Sold,,,http://www.redfin.com/NV/North-Las-Vegas/3023-Misty-Pine-Ave-89081/unit-39/home/174144218,GLVAR,2260453,N,Y,36.2749456,-115.1064433
PAST SALE,March-9-2021,Single Family Residential,1127 Boulder Shore Ave,North Las Vegas,NV,89081,325000,4,2.5,Cobblestone Ridge Parcel 2 Phase 1,1965,4356,1997,45,165,,Sold,,,http://www.redfin.com/NV/North-Las-Vegas/1127-E-Boulder-Shore-Ave-89081/home/29235310,GLVAR,2263832,N,Y,36.24326,-115.1270538
PAST SALE,March-16-2021,Single Family Residential,4843 Cutting Diamond Ct,North Las Vegas,NV,89081,286000,3,2.0,Cobblestone Ridge North 80,1458,7405,2002,38,196,14,Sold,,,http://www.redfin.com/NV/North-Las-Vegas/4843-Cutting-Diamond-Ct-89081/home/29854424,GLVAR,2271485,N,Y,36.2484431,-115.128212
PAST SALE,March-19-2021,Single Family Residential,5704 Swan Bridge St,North Las Vegas,NV,89081,362000,4,2.75,Runvee Hobart East Parcel 3B,2046,5227,2018,35,177,60,Sold,,,http://www.redfin.com/NV/North-Las-Vegas/5704-Swan-Bridge-St-89081/home/147855102,GLVAR,2251445,N,Y,36.2636759,-115.08863
PAST SALE,March-19-2021,Single Family Residential,624 Brown Breeches Ave,North Las Vegas,NV,89081,290000,3,2.5,Fifth & Farm,1631,4792,2004,35,178,67,Sold,,,http://www.redfin.com/NV/North-Las-Vegas/624-E-Brown-Breeches-Ave-89081/home/28995877,GLVAR,2260465,N,Y,36.2658167,-115.1327518
PAST SALE,April-6-2021,Single Family Residential,3949 Kristina Lynn Ave,North Las Vegas,NV,89081,385000,5,3.5,Tropical Walnut,3001,6970,2006,17,128,28,Sold,,,http://www.redfin.com/NV/North-Las-Vegas/3949-Kristina-Lynn-Ave-89081/home/29058478,GLVAR,2278440,N,Y,36.2696337,-115.0875123
PAST SALE,April-7-2021,Single Family Residential,4148 Seclusion Bay Ave,North Las Vegas,NV,89081,350000,4,2.5,Runvee Hobart East Parcel 3A-2,1968,4356,2016,16,178,52,Sold,,,http://www.redfin.com/NV/North-Las-Vegas/4148-Seclusion-Bay-Ave-89081/home/109860900,GLVAR,2278140,N,Y,36.2674742,-115.0830413
