SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,March-18-2021,Condo/Co-op,4716 O'bannon Dr Unit A,Las Vegas,NV,89102,155000,2,2.0,Newport Cove 3,1073,,1982,45,144,253,Sold,,,http://www.redfin.com/NV/Las-Vegas/4716-O-Bannon-Dr-89102/unit-A/home/29460807,GLVAR,2257030,N,Y,36.1488115,-115.2045475
PAST SALE,March-19-2021,Single Family Residential,4413 El Parque Ave,Las Vegas,NV,89102,275000,4,2.0,Fairacres Tr,1376,6970,1964,44,200,,Sold,,,http://www.redfin.com/NV/Las-Vegas/4413-W-El-Parque-Ave-89102/home/29461816,GLVAR,2265516,N,Y,36.1491529,-115.2010739
PAST SALE,,Single Family Residential,1700 Cameron St,Las Vegas,NV,89102,244000,3,2.0,,1576,6098,1979,,155,,,,,http://www.redfin.com/NV/Las-Vegas/1700-Cameron-St-89102/home/29460729,,,N,Y,36.1515496,-115.204038
PAST SALE,April-29-2021,Condo/Co-op,4704 Obannon Dr Unit A,Las Vegas,NV,89102,160000,2,1.5,Newport Cove 3,1073,,1982,3,149,253,Sold,,,http://www.redfin.com/NV/Las-Vegas/4704-O-Bannon-Dr-89102/unit-A/home/29460815,GLVAR,2268239,N,Y,36.148359,-115.205009
PAST SALE,April-12-2021,Condo/Co-op,4704 Obannon Dr Unit B,Las Vegas,NV,89102,143400,2,1.75,Newport Cove 3,1073,1073,1982,20,134,220,Sold,,,http://www.redfin.com/NV/Las-Vegas/4704-O-Bannon-Dr-89102/unit-B/home/29460812,GLVAR,2273308,N,Y,36.148359,-115.205009
