SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,January-22-2021,Single Family Residential,4033 Laurel Flat Ct,Las Vegas,NV,89129,440000,4,3.0,Lone Mountain Heights,2988,7405,2001,89,147,85,Sold,,,http://www.redfin.com/NV/Las-Vegas/4033-Laurel-Flat-Ct-89129/home/29856979,GLVAR,2259043,N,Y,36.234116,-115.3211226
PAST SALE,March-31-2021,Single Family Residential,8753 Gilmore Ave,Las Vegas,NV,89129,660000,5,4.0,El Capitan Ranch,4861,9583,2000,21,136,16,Sold,,,http://www.redfin.com/NV/Las-Vegas/8753-W-Gilmore-Ave-89129/home/29124953,GLVAR,2272590,N,Y,36.2299268,-115.2872312
PAST SALE,January-28-2021,Single Family Residential,9353 Leaping Lilly Ave,Las Vegas,NV,89129,285000,3,2.0,Summersprings,1254,4356,1996,83,227,,Sold,,,http://www.redfin.com/NV/Las-Vegas/9353-Leaping-Lilly-Ave-89129/home/29123070,GLVAR,2257395,N,Y,36.2225054,-115.2997325
PAST SALE,January-21-2021,Single Family Residential,8717 Blazing Saddle Ave,Las Vegas,NV,89129,315000,3,2.5,Saddleback East,1770,4356,1996,90,178,,Sold,,,http://www.redfin.com/NV/Las-Vegas/8717-Blazing-Saddle-Ave-89129/home/29126254,GLVAR,2246781,N,Y,36.222547,-115.286604
PAST SALE,March-10-2021,Single Family Residential,8897 Perfect Diamond Ct,Las Vegas,NV,89129,357000,3,2.5,Goldrush 5 A,2003,3485,2003,42,178,85,Sold,,,http://www.redfin.com/NV/Las-Vegas/8897-W-Perfect-Diamond-Ct-89129/home/29952970,GLVAR,2261911,N,Y,36.2329078,-115.2918845
PAST SALE,January-22-2021,Condo/Co-op,3500 Cactus Shadow St #103,Las Vegas,NV,89129,215000,3,1.75,Gowan Cliff Shadows Condo,1223,,2004,89,176,216,Sold,,,http://www.redfin.com/NV/Las-Vegas/3500-Cactus-Shadow-St-89129/unit-103/home/29001951,GLVAR,2243621,N,Y,36.2244189,-115.33103
PAST SALE,March-3-2021,Townhouse,8405 Sewards Bluff Ave,Las Vegas,NV,89129,265500,3,2.5,Mira Vista,1524,2178,1997,49,174,70,Sold,,,http://www.redfin.com/NV/Las-Vegas/8405-Sewards-Bluff-Ave-89129/home/29127166,GLVAR,2270777,N,Y,36.2230465,-115.2758084
PAST SALE,March-11-2021,Single Family Residential,9409 Deer Lodge Ln,Las Vegas,NV,89129,367000,3,2.5,Sky Canyon,1720,4792,1995,41,213,,Sold,,,http://www.redfin.com/NV/Las-Vegas/9409-Deer-Lodge-Ln-89129/home/29122940,GLVAR,2264657,N,Y,36.2205831,-115.2998946
PAST SALE,March-1-2021,Single Family Residential,10589 Danielson Ave,Las Vegas,NV,89129,349000,5,2.5,Astoria At Lone Mountain,2282,2614,2006,51,153,65,Sold,,,http://www.redfin.com/NV/Las-Vegas/10589-Danielson-Ave-89129/home/28969059,GLVAR,2263080,N,Y,36.2284069,-115.3289235
PAST SALE,March-10-2021,Single Family Residential,10568 Danielson Ave,Las Vegas,NV,89129,339000,4,2.5,Astoria At Lone Mountain,2199,2614,2006,42,154,65,Sold,,,http://www.redfin.com/NV/Las-Vegas/10568-Danielson-Ave-89129/home/29024402,GLVAR,2250486,N,Y,36.2287725,-115.3281828
PAST SALE,,Single Family Residential,9360 W Gilmore Ave,Las Vegas,NV,89129,280000,3,2.0,,1310,5227,2000,,214,,,,,http://www.redfin.com/NV/Las-Vegas/9360-W-Gilmore-Ave-89129/home/29847842,,,N,Y,36.2300561,-115.2994316
PAST SALE,March-1-2021,Single Family Residential,3720 Plum Blossom Ct,Las Vegas,NV,89129,348000,3,2.0,Gowan Fort Apache Phase 5 Amd,2105,6970,1997,51,165,,Sold,,,http://www.redfin.com/NV/Las-Vegas/3720-Plum-Blossom-Ct-89129/home/29123831,GLVAR,2258420,N,Y,36.2291191,-115.2957507
PAST SALE,February-8-2021,Single Family Residential,4460 Chieftain St,Las Vegas,NV,89129,690000,4,3.0,,3626,21780,1992,72,190,,Sold,,,http://www.redfin.com/NV/Las-Vegas/4460-N-Chieftain-St-89129/home/29120629,GLVAR,2242675,N,Y,36.2418803,-115.2993621
PAST SALE,,Single Family Residential,4236 Perfect Drift St,Las Vegas,NV,89129,225000,3,1.5,,1337,2614,2004,,168,,,,,http://www.redfin.com/NV/Las-Vegas/4236-Perfect-Drift-St-89129/home/28976909,,,N,Y,36.2377068,-115.2516922
PAST SALE,February-24-2021,Single Family Residential,7548 Rosegrass Way,Las Vegas,NV,89129,431000,4,3.0,Summercrest Estate #3,2188,9583,1993,56,197,,Sold,,,http://www.redfin.com/NV/Las-Vegas/7548-Rosegrass-Way-89129/home/29118841,GLVAR,2260409,N,Y,36.2344509,-115.2601663
PAST SALE,March-4-2021,Single Family Residential,3908 Varallo St,Las Vegas,NV,89129,415000,3,2.5,Milan,2398,4792,1997,48,173,,Sold,,,http://www.redfin.com/NV/Las-Vegas/3908-Varallo-St-89129/home/29128104,GLVAR,2266310,N,Y,36.2319203,-115.2666491
PAST SALE,March-4-2021,Single Family Residential,7261 Early Pioneer Ave,Las Vegas,NV,89129,250000,3,2.5,Mayfield,1476,2614,2005,48,169,80,Sold,,,http://www.redfin.com/NV/Las-Vegas/7261-Early-Pioneer-Ave-89129/home/29025846,GLVAR,2263824,N,Y,36.2395154,-115.2533592
PAST SALE,March-4-2021,Single Family Residential,4778 Designer Way,Las Vegas,NV,89129,694000,5,3.0,Delfante Design Homes,3595,20038,1996,48,193,80,Sold,,,http://www.redfin.com/NV/Las-Vegas/4778-Designer-Way-89129/home/29120035,GLVAR,2243833,N,Y,36.2473963,-115.2759332
PAST SALE,March-8-2021,Single Family Residential,8308 Granite Mountain Ln,Las Vegas,NV,89129,735000,6,2.75,Monterey Estate,3828,20473,1994,44,192,92,Sold,,,http://www.redfin.com/NV/Las-Vegas/8308-Granite-Mountain-Ln-89129/home/29120049,GLVAR,2262904,N,Y,36.2430389,-115.2769519
PAST SALE,February-25-2021,Single Family Residential,3420 Tuscany Village Dr,Las Vegas,NV,89129,365000,4,2.5,Tuscany Village Northshore,1879,4356,1997,55,194,70,Sold,,,http://www.redfin.com/NV/Las-Vegas/3420-Tuscany-Village-Dr-89129/home/29127361,GLVAR,2254739,N,Y,36.2232276,-115.2738727
PAST SALE,February-26-2021,Single Family Residential,7914 Gilmore Ave,Las Vegas,NV,89129,455000,3,2.5,Presidio-Phase 4,2264,5227,1995,54,201,8,Sold,,,http://www.redfin.com/NV/Las-Vegas/7914-W-Gilmore-Ave-89129/home/29128052,GLVAR,2253718,N,Y,36.2298231,-115.2678531
PAST SALE,,Single Family Residential,8316 Woodland Prairie Ave,Las Vegas,NV,89129,293500,5,2.5,,2812,6534,1997,,104,,,,,http://www.redfin.com/NV/Las-Vegas/8316-Woodland-Prairie-Ave-89129/home/29126656,,,N,Y,36.2324996,-115.2750998
PAST SALE,March-12-2021,Single Family Residential,8249 Rocky Bluff Way,Las Vegas,NV,89129,289000,3,2.0,Scottsbluff,1466,3920,1996,40,197,,Sold,,,http://www.redfin.com/NV/Las-Vegas/8249-Rocky-Bluff-Way-89129/home/29127411,GLVAR,2251215,N,Y,36.2252105,-115.273618
PAST SALE,March-15-2021,Single Family Residential,8217 W Gilmore Ave,Las Vegas,NV,89129,290000,3,2.0,Cimarron Village,1296,4356,1996,37,224,13,Sold,,,http://www.redfin.com/NV/Las-Vegas/8217-W-Gilmore-Ave-89129/home/29126309,GLVAR,2267879,N,Y,36.2300519,-115.2733633
PAST SALE,,Single Family Residential,3782 Bossa Nova Dr,Las Vegas,NV,89129,285000,3,2.0,,1296,3920,1996,,220,,,,,http://www.redfin.com/NV/Las-Vegas/3782-Bossa-Nova-Dr-89129/home/29126305,,,N,Y,36.2299685,-115.2737338
PAST SALE,April-9-2021,Single Family Residential,8317 Valleybreeze Ave,Las Vegas,NV,89129,335000,3,2.5,Windgate,1928,4356,1997,12,174,,Sold,,,http://www.redfin.com/NV/Las-Vegas/8317-Valleybreeze-Ave-89129/home/29126609,GLVAR,2273585,N,Y,36.2277149,-115.2756323
PAST SALE,April-16-2021,Single Family Residential,7941 Constantinople Ave,Las Vegas,NV,89129,377000,4,2.5,Presidio-Phase 5,2264,4356,1995,5,167,10,Sold,,,http://www.redfin.com/NV/Las-Vegas/7941-Constantinople-Ave-89129/home/29127593,GLVAR,2277266,N,Y,36.2312777,-115.2682698
PAST SALE,,Single Family Residential,3521 Round Valley Way,Las Vegas,NV,89129,349000,3,2.0,,1784,5663,1997,,196,,,,,http://www.redfin.com/NV/Las-Vegas/3521-Round-Valley-Way-89129/home/29127329,,,N,Y,36.2248668,-115.2718816
PAST SALE,February-22-2021,Single Family Residential,8309 Cavaricci Ave,Las Vegas,NV,89129,336000,3,2.5,Pine Cove Sub,1855,4356,2004,58,181,28,Sold,,,http://www.redfin.com/NV/Las-Vegas/8309-Cavaricci-Ave-89129/home/28977292,GLVAR,2263496,N,Y,36.2252321,-115.2748451
PAST SALE,March-22-2021,Single Family Residential,8312 Windchase Ave,Las Vegas,NV,89129,305000,3,2.0,Windgate,1264,4356,1996,30,241,,Sold,,,http://www.redfin.com/NV/Las-Vegas/8312-Windchase-Ave-89129/home/29126581,GLVAR,2271884,N,Y,36.2267641,-115.275447
PAST SALE,March-12-2021,Single Family Residential,7501 Wheat Grass Ct,Las Vegas,NV,89129,357500,3,2.0,Summer Crest Estate Phase 2,1889,6534,1992,40,189,,Sold,,,http://www.redfin.com/NV/Las-Vegas/7501-Wheat-Grass-Ct-89129/home/29118779,GLVAR,2262033,N,Y,36.2347771,-115.2574806
PAST SALE,March-12-2021,Single Family Residential,4108 Sinew Ct,Las Vegas,NV,89129,395000,4,2.0,Dave Brown West,2092,11326,1990,40,189,15,Sold,,,http://www.redfin.com/NV/Las-Vegas/4108-Sinew-Ct-89129/home/29120498,GLVAR,2261149,N,Y,36.2352663,-115.2609535
PAST SALE,April-2-2021,Single Family Residential,7725 Willow Cove Cir,Las Vegas,NV,89129,750000,4,3.5,Hobble Creek Estate,3648,19602,1996,19,206,125,Sold,,,http://www.redfin.com/NV/Las-Vegas/7725-Willow-Cove-Cir-89129/home/29128317,GLVAR,2273230,N,Y,36.2269302,-115.2631531
PAST SALE,April-5-2021,Single Family Residential,7400 Blue Sage Ct,Las Vegas,NV,89129,430000,3,2.25,Summer Crest Estate Phase 1,2188,7405,1991,16,197,,Sold,,,http://www.redfin.com/NV/Las-Vegas/7400-Blue-Sage-Ct-89129/home/29118875,GLVAR,2270642,N,Y,36.234482,-115.2567628
