SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,February-11-2021,Single Family Residential,11416 Rancho Portena Ave,Las Vegas,NV,89138,659900,5,3.5,Estancia At The Vistas,3269,7841,2004,71,202,44,Sold,,,http://www.redfin.com/NV/Las-Vegas/11416-Rancho-Portena-Ave-89138/home/29931037,GLVAR,2260348,N,Y,36.1744504,-115.3458211
PAST SALE,January-27-2021,Single Family Residential,12316 Keyport Ln,Las Vegas,NV,89138,508000,3,2.5,Summerlin Village 24 Parcel A Silver Creek,2369,5663,2018,86,214,48,Sold,,,http://www.redfin.com/NV/Las-Vegas/12316-Keyport-Ln-89138/home/166093967,GLVAR,2258062,N,Y,36.159047,-115.3647271
PAST SALE,February-5-2021,Single Family Residential,888 Haven Oaks Pl,Las Vegas,NV,89138,550888,3,2.5,Summerlin Village 24 Parcel A Silver Creek,2369,3920,2018,77,233,,Sold,,,http://www.redfin.com/NV/Las-Vegas/888-Haven-Oaks-Pl-89138/home/166486430,GLVAR,2259021,N,Y,36.1580012,-115.3655255
PAST SALE,January-29-2021,Single Family Residential,904 Cirrus Cloud Ave,Las Vegas,NV,89138,430000,4,2.5,Skye Knoll,1796,4000,2019,84,239,48,Sold,,,http://www.redfin.com/NV/Las-Vegas/904-Cirrus-Cloud-Ave-89138/home/167636229,GLVAR,2242007,N,Y,36.160258,-115.370849
PAST SALE,,Single Family Residential,ADDRESS REDACTED,LAS VEGAS,NV,89138,401000,3,2.5,,1863,4356,2004,,215,,,,,http://www.redfin.com/NV/LAS-VEGAS/ADDRESS-REDACTED-89138/home/28999513,,,N,Y,36.160397,-115.346696
PAST SALE,March-25-2021,Single Family Residential,12064 Hathaway Pines Ln,Las Vegas,NV,89138,400000,4,2.25,Calavera At Summerlin,1895,4356,2006,29,211,78,Sold,,,http://www.redfin.com/NV/Las-Vegas/12064-Hathaway-Pines-Dr-89138/home/29025264,GLVAR,2264806,N,Y,36.1611028,-115.3579055
PAST SALE,April-5-2021,Single Family Residential,11649 Royal Derwent Dr,Las Vegas,NV,89138,475000,4,2.75,SOMERSET UNIT 2,2017,4792,2004,18,235,48,Sold,,,http://www.redfin.com/NV/Las-Vegas/11649-Royal-Derwent-Dr-89138/home/28986509,GLVAR,2272954,N,Y,36.1616141,-115.3500801
PAST SALE,February-17-2021,Single Family Residential,564 Delta Rio St,Las Vegas,NV,89138,469000,4,2.5,Solano At The Vistas,2211,3920,2004,65,212,44,Sold,,,http://www.redfin.com/NV/Las-Vegas/564-Delta-Rio-St-89138/home/28986136,GLVAR,2264011,N,Y,36.1689054,-115.352441
PAST SALE,February-12-2021,Single Family Residential,949 Tudela Ct,Las Vegas,NV,89138,486000,3,2.5,Granada At Summerlin,1975,8276,2005,70,246,29,Sold,,,http://www.redfin.com/NV/Las-Vegas/949-Tudela-Ct-89138/home/29010196,GLVAR,2262786,N,Y,36.1590913,-115.3598477
PAST SALE,,Single Family Residential,937 Lord Crewe St,Las Vegas,NV,89138,415000,3,2.5,,2017,3920,2004,,206,,,,,http://www.redfin.com/NV/Las-Vegas/937-Lord-Crewe-St-89138/home/28986547,,,N,Y,36.1621577,-115.3509712
