SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,February-9-2021,Single Family Residential,2613 Heathrow St,Las Vegas,NV,89135,310000,3,2.5,Stratford Court Summerlin Village 14A East Phase 1,1178,3049,2001,73,263,43,Sold,,,http://www.redfin.com/NV/Las-Vegas/2613-Heathrow-St-89135/home/29587194,GLVAR,2247254,N,Y,36.1437279,-115.3284606
PAST SALE,February-5-2021,Single Family Residential,10476 Dove Meadow Way,Las Vegas,NV,89135,570000,3,2.5,CIELO,2100,5663,2015,77,271,62,Sold,,,http://www.redfin.com/NV/Las-Vegas/10476-Dove-Meadow-Way-89135/home/68172515,GLVAR,2238249,N,Y,36.0820383,-115.3214929
PAST SALE,,Single Family Residential,5729 Oak Bend Dr,Las Vegas,NV,89135,440000,2,2.5,,2176,6534,2013,,202,,,,,http://www.redfin.com/NV/Las-Vegas/5729-Oak-Bend-Dr-89135/home/52627992,,,N,Y,36.0862791,-115.3279976
PAST SALE,January-28-2021,Single Family Residential,10670 Agate Knoll Ln,Las Vegas,NV,89135,402000,3,2.5,Summerlin Village 16 Parcel E J K & E S - 1,2075,3920,2012,85,194,32,Sold,,,http://www.redfin.com/NV/Las-Vegas/10670-Agate-Knoll-Ln-89135/home/52627944,GLVAR,2249189,N,Y,36.0875502,-115.3262384
PAST SALE,February-12-2021,Single Family Residential,6418 Wild Blue Ct,Las Vegas,NV,89135,765000,4,4.25,Summerlin Village 16A Parcel E,3126,6970,2018,70,245,82,Sold,,,http://www.redfin.com/NV/Las-Vegas/6418-Wild-Blue-Ct-89135/home/147875473,GLVAR,2218710,N,Y,36.0719147,-115.3161414
PAST SALE,January-26-2021,Single Family Residential,10337 Kesington Dr,Las Vegas,NV,89135,810000,3,2.25,Village 16A-Parcel C,2564,6098,2017,87,316,83,Sold,,,http://www.redfin.com/NV/Las-Vegas/10337-Kesington-Dr-89178/home/146417271,GLVAR,2254885,N,Y,36.0765063,-115.3185994
PAST SALE,February-24-2021,Single Family Residential,6690 Interstellar St,Las Vegas,NV,89135,1560000,4,3.5,Nova Ridge Summerlin Village 16A-Parcels F & G Amd,3275,10019,2018,58,476,120,Sold,,,http://www.redfin.com/NV/Las-Vegas/6690-Interstellar-St-89135/home/147876716,GLVAR,2266039,N,Y,36.066357,-115.3169558
PAST SALE,February-24-2021,Single Family Residential,6491 Wild Blue Ct,Las Vegas,NV,89135,955000,4,4.25,Summerlin Village 16A Parcel E,3117,8276,2018,58,306,89,Sold,,,http://www.redfin.com/NV/Las-Vegas/6491-Wild-Blue-Ct-89135/home/147875474,GLVAR,2235692,N,Y,36.0703402,-115.3166293
PAST SALE,March-29-2021,Single Family Residential,10277 Green Ember Dr,Las Vegas,NV,89135,1228900,4,3.75,Summerlin Village,3880,8276,2018,25,317,46,Sold,,,http://www.redfin.com/NV/Las-Vegas/10277-W-Green-Ember-Dr-89178/home/147875327,GLVAR,2263498,N,Y,36.0741663,-115.3168646
PAST SALE,March-29-2021,Single Family Residential,6171 Willow Rock St,Las Vegas,NV,89135,920000,3,2.5,Summerlin Village 16A Parcel B,2692,8276,2018,25,342,110,Sold,,,http://www.redfin.com/NV/Las-Vegas/6171-Willow-Rock-St-89135/home/146417721,GLVAR,2265909,N,Y,36.0762509,-115.3198889
