SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,April-7-2021,Single Family Residential,7528 Crystal Isle Way,Las Vegas,NV,89128,380000,4,2.5,Ridgeview West,2096,5227,1991,16,181,,Sold,,,http://www.redfin.com/NV/Las-Vegas/7528-Crystal-Isle-Way-89128/home/29197387,GLVAR,2270600,N,Y,36.1884816,-115.2574342
PAST SALE,March-10-2021,Condo/Co-op,1212 Observation Dr #201,Las Vegas,NV,89128,180000,2,2.0,Rock Springs Vista-Unit 6,912,,1987,44,197,200,Sold,,,http://www.redfin.com/NV/Las-Vegas/1212-Observation-Dr-89128/unit-201/home/29207959,GLVAR,2268287,N,Y,36.184876,-115.2608378
PAST SALE,March-19-2021,Single Family Residential,1108 Mineral Springs Ct,Las Vegas,NV,89128,386500,3,2.0,Calico Vista Estate,1761,8276,1989,35,219,,Sold,,,http://www.redfin.com/NV/Las-Vegas/1108-Mineral-Springs-Ct-89128/home/29207935,GLVAR,2269717,N,Y,36.1843353,-115.2617407
PAST SALE,March-9-2021,Condo/Co-op,1150 Buffalo Dr #1046,Las Vegas,NV,89128,187000,2,2.0,Buffalo Condos,1062,,1996,45,176,190,Sold,,,http://www.redfin.com/NV/Las-Vegas/1150-N-Buffalo-Dr-89128/unit-1046/home/29199081,GLVAR,2265337,N,Y,36.1854359,-115.2580825
PAST SALE,January-28-2021,Single Family Residential,1400 Beaver Spring St,Las Vegas,NV,89128,292000,3,2.0,Cambria Hills Clusters,1400,3485,1996,85,209,77,Sold,,,http://www.redfin.com/NV/Las-Vegas/1400-Beaver-Spring-St-89128/home/29197571,GLVAR,2243762,N,Y,36.1857186,-115.2585919
PAST SALE,March-1-2021,Single Family Residential,1205 Lucia Dr,Las Vegas,NV,89128,310000,3,2.5,Ridgeview West,1523,3485,1992,53,204,,Sold,,,http://www.redfin.com/NV/Las-Vegas/1205-Lucia-Dr-89128/home/29198182,GLVAR,2254078,N,Y,36.1836682,-115.2571101
PAST SALE,March-12-2021,Single Family Residential,1401 Beaver Spring St,Las Vegas,NV,89128,255000,2,2.5,Cambria Hills Clusters Amd,1114,3485,1996,42,229,75,Sold,,,http://www.redfin.com/NV/Las-Vegas/1401-Beaver-Spring-St-89128/home/29198150,GLVAR,2251018,N,Y,36.1857063,-115.2588234
PAST SALE,March-15-2021,Condo/Co-op,1150 Buffalo Dr #1088,Las Vegas,NV,89128,135000,1,1.0,Buffalo Condos,722,722,1996,39,187,190,Sold,,,http://www.redfin.com/NV/Las-Vegas/1150-N-Buffalo-Dr-89128/unit-1088/home/29199159,GLVAR,2239701,N,Y,36.1854359,-115.2580825
PAST SALE,March-15-2021,Condo/Co-op,1150 Buffalo Dr #1083,Las Vegas,NV,89128,134000,1,1.0,Buffalo Condos,722,,1996,39,186,190,Sold,,,http://www.redfin.com/NV/Las-Vegas/1150-N-Buffalo-Dr-89128/unit-1083/home/29199122,GLVAR,2249077,N,Y,36.1854359,-115.2580825
PAST SALE,March-17-2021,Condo/Co-op,1150 Buffalo Dr #1060,Las Vegas,NV,89128,154000,2,2.0,Buffalo Condos,928,,1996,37,166,175,Sold,,,http://www.redfin.com/NV/Las-Vegas/1150-N-Buffalo-Dr-89128/unit-1060/home/29199066,GLVAR,2269639,N,Y,36.1854359,-115.2580825
PAST SALE,,Condo/Co-op,1150 N Buffalo Dr #1100,Las Vegas,NV,89128,122000,1,1.0,,722,,1996,,169,,,,,http://www.redfin.com/NV/Las-Vegas/1150-N-Buffalo-Dr-89128/unit-1100/home/29199178,,,N,Y,36.1854359,-115.2580825
PAST SALE,March-17-2021,Single Family Residential,7445 Lattimore Dr,Las Vegas,NV,89128,280000,3,2.0,Rainbow Meadows,1116,6534,1989,37,251,,Sold,,,http://www.redfin.com/NV/Las-Vegas/7445-Lattimore-Dr-89128/home/29197295,GLVAR,2268608,N,Y,36.1873715,-115.2553041
PAST SALE,January-29-2021,Condo/Co-op,3150 Soft Breezes Dr #2021,Las Vegas,NV,89128,135000,1,1.0,Mar-A-Lago Phase 1,690,,1989,84,196,195,Sold,,,http://www.redfin.com/NV/Las-Vegas/3150-N-Soft-Breezes-Dr-89128/unit-2021/home/29143860,GLVAR,2257022,N,Y,36.216812,-115.264357
PAST SALE,February-16-2021,Condo/Co-op,3150 Soft Breezes Dr #1177,Las Vegas,NV,89128,165000,2,2.0,Mar-A-Lago Phase 1,981,,1989,66,168,209,Sold,,,http://www.redfin.com/NV/Las-Vegas/3150-N-Soft-Breezes-Dr-89128/unit-1177/home/29145241,GLVAR,2261616,N,Y,36.21760757908758,-115.26352799261207
PAST SALE,April-6-2021,Condo/Co-op,3125 N Buffalo Dr #2136,Las Vegas,NV,89128,154500,2,1.0,Mar-A-Lago 2,921,,1998,17,168,207,Sold,,,http://www.redfin.com/NV/Las-Vegas/3125-N-Buffalo-Dr-89128/unit-2136/home/29145052,GLVAR,2277039,N,Y,36.2172788,-115.2606884
PAST SALE,April-16-2021,Condo/Co-op,7713 Constanso Ave #204,Las Vegas,NV,89128,205000,2,2.0,Pacific Hills,1204,,1996,7,170,223,Sold,,,http://www.redfin.com/NV/Las-Vegas/7713-Constanso-Ave-89128/unit-204/home/29206738,GLVAR,2281035,N,Y,36.188064,-115.263046
PAST SALE,February-16-2021,Condo/Co-op,1325 Keifer Ln #201,Las Vegas,NV,89128,180000,2,2.0,Rock Springs Vista-Unit 6-Amd,1192,1192,1992,66,151,140,Sold,,,http://www.redfin.com/NV/Las-Vegas/1325-Keifer-89128/unit-201/home/29206537,GLVAR,2260782,N,Y,36.1859236,-115.2632457
PAST SALE,March-1-2021,Condo/Co-op,1505 Blackcombe St #102,Las Vegas,NV,89128,190000,2,2.0,Pacific Hills,1204,,1996,53,158,186,Sold,,,http://www.redfin.com/NV/Las-Vegas/1505-Blackcombe-St-89128/unit-102/home/29206477,GLVAR,2261955,N,Y,36.1874424,-115.2642644
PAST SALE,,Single Family Residential,7725 Spectacle Ln,Las Vegas,NV,89128,144926,4,2.5,,1450,4356,1988,,100,,,,,http://www.redfin.com/NV/Las-Vegas/7725-Spectacle-Ln-89128/home/29209015,,,N,Y,36.1816015,-115.2629447
PAST SALE,April-13-2021,Condo/Co-op,7713 Himalayas Ave #203,Las Vegas,NV,89128,195000,3,2.0,Pacific Hills,1344,,1996,10,145,233,Sold,,,http://www.redfin.com/NV/Las-Vegas/7713-Himalayas-Ave-89128/unit-203/home/29206882,GLVAR,2273412,N,Y,36.1871531,-115.2634309
PAST SALE,February-24-2021,Townhouse,1901 Bender Ct,Las Vegas,NV,89128,359888,4,3.0,La Mancha Summerlin,2585,3920,1993,58,139,385,Sold,,,http://www.redfin.com/NV/Las-Vegas/1901-Bender-Ct-89128/home/29162378,GLVAR,2260467,N,Y,36.1941887,-115.2726631
PAST SALE,March-3-2021,Single Family Residential,8220 Hot Creek Dr,Las Vegas,NV,89128,340000,2,1.5,Salinas,1406,5227,1995,51,242,50,Sold,,,http://www.redfin.com/NV/Las-Vegas/8220-Hot-Creek-Dr-89128/home/29163391,GLVAR,2269829,N,Y,36.1924677,-115.2741505
PAST SALE,March-16-2021,Single Family Residential,7837 Desert Bell Ave,Las Vegas,NV,89128,340000,3,2.0,Valencia Phase 2,1616,4356,1994,38,210,50,Sold,,,http://www.redfin.com/NV/Las-Vegas/7837-Desert-Bell-Ave-89128/home/29166913,GLVAR,2263622,N,Y,36.1914308,-115.2660472
PAST SALE,March-29-2021,Single Family Residential,1705 Morado Hills Ln,Las Vegas,NV,89128,340000,3,2.5,Santa Fe-Phase 3,1709,3920,1994,25,199,55,Sold,,,http://www.redfin.com/NV/Las-Vegas/1705-Morado-Hills-Ln-89128/home/29163408,GLVAR,2270216,N,Y,36.1919969,-115.2707703
PAST SALE,April-22-2021,Single Family Residential,1608 Ghost Flower Ct,Las Vegas,NV,89128,420000,4,3.0,Valencia Phase 2,2406,5663,1994,1,175,,Sold,,,http://www.redfin.com/NV/Las-Vegas/1608-Ghost-Flower-Ct-89128/home/29166937,GLVAR,2276748,N,Y,36.1891732,-115.2663713
PAST SALE,March-22-2021,Condo/Co-op,825 Rock Springs Dr #101,Las Vegas,NV,89128,153100,2,2.0,Redrock Spgs Condo Phase 2,912,,1986,32,168,210,Sold,,,http://www.redfin.com/NV/Las-Vegas/825-Rock-Springs-Dr-89128/unit-101/home/29201539,GLVAR,2266411,N,Y,36.1806303,-115.245348
PAST SALE,January-28-2021,Single Family Residential,1812 Battle Born Dr,Las Vegas,NV,89128,305000,3,2.5,Sorrento,1600,4792,1993,85,191,,Sold,,,http://www.redfin.com/NV/Las-Vegas/1812-Battle-Born-Dr-89128/home/29168066,GLVAR,2256534,N,Y,36.1926896,-115.2567396
PAST SALE,April-13-2021,Single Family Residential,1844 Klamath Falls Way,Las Vegas,NV,89128,340000,4,2.5,TENAYA WEST BY LEWIS HMS,2194,4356,1994,10,155,,Sold,,,http://www.redfin.com/NV/Las-Vegas/1844-Klamath-Falls-Way-89128/home/29168150,GLVAR,2271938,N,Y,36.193283,-115.2541001
PAST SALE,March-1-2021,Single Family Residential,1605 Palmales Ct,Las Vegas,NV,89128,339000,3,2.5,Desert Palms,1858,3920,1989,53,182,,Sold,,,http://www.redfin.com/NV/Las-Vegas/1605-Palmales-Ct-89128/home/29168796,GLVAR,2257333,N,Y,36.1890363,-115.2537297
PAST SALE,March-12-2021,Condo/Co-op,7944 Calico Vista Blvd #202,Las Vegas,NV,89128,195500,2,2.0,Rock Springs Vista-Unit 6-Amd,1136,1145,1989,42,172,170,Sold,,,http://www.redfin.com/NV/Las-Vegas/7944-Calico-Vista-Blvd-89128/unit-202/home/29206596,GLVAR,2248554,N,Y,36.1840595,-115.2678926
PAST SALE,February-1-2021,Condo/Co-op,7936 Terrace Rock Way #102,Las Vegas,NV,89128,140000,2,2.0,Rock Springs Vista-Unit 6,912,2500,1992,81,154,160,Sold,,,http://www.redfin.com/NV/Las-Vegas/7936-Terrace-Rock-Way-89128/unit-102/home/29205471,GLVAR,2234630,N,Y,36.1881164,-115.2677142
PAST SALE,March-2-2021,Single Family Residential,8117 Rock Port Cir,Las Vegas,NV,89128,470000,4,3.5,,2556,6970,1995,52,184,,Sold,,,http://www.redfin.com/NV/Las-Vegas/8117-Rock-Port-Cir-89128/home/29204656,GLVAR,2264150,N,Y,36.1820318,-115.2721594
PAST SALE,March-2-2021,Condo/Co-op,7956 Terrace Rock Way #201,Las Vegas,NV,89128,161500,2,2.0,Rock Springs Vista-Unit 6,912,,1992,52,177,170,Sold,,,http://www.redfin.com/NV/Las-Vegas/7956-Terrace-Rock-Way-89128/unit-201/home/29205509,GLVAR,2263229,N,Y,36.1882737,-115.2683393
PAST SALE,March-5-2021,Condo/Co-op,933 Boulder Mesa Dr #102,Las Vegas,NV,89128,161000,2,2.0,Rock Springs Vista-Unit 6,912,,1990,49,177,170,Sold,,,http://www.redfin.com/NV/Las-Vegas/933-Boulder-Mesa-89128/unit-102/home/29208091,GLVAR,2257447,N,Y,36.1833776,-115.2688255
PAST SALE,March-9-2021,Townhouse,8033 Cherish Ave,Las Vegas,NV,89128,210000,2,2.5,Allure Twnhms Ii,1016,871,1996,45,207,151,Sold,,,http://www.redfin.com/NV/Las-Vegas/8033-Cherish-Ave-89128/home/29204483,GLVAR,2232964,N,Y,36.183487,-115.270109
PAST SALE,March-12-2021,Condo/Co-op,7916 Esterbrook Way #102,Las Vegas,NV,89128,150000,2,2.0,Rock Springs Vista-Unit 6,912,,1988,42,164,170,Sold,,,http://www.redfin.com/NV/Las-Vegas/7916-Esterbrook-Way-89128/unit-102/home/29208277,GLVAR,2266428,N,Y,36.1849144,-115.2660219
PAST SALE,April-6-2021,Condo/Co-op,944 Falconhead Ln #101,Las Vegas,NV,89128,185000,2,2.0,Rock Springs Vista-Unit 6,912,,1989,17,203,170,Sold,,,http://www.redfin.com/NV/Las-Vegas/944-Falconhead-Ln-89128/unit-101/home/29208914,GLVAR,2266172,N,Y,36.1831254,-115.2672974
PAST SALE,April-9-2021,Condo/Co-op,901 Red Boulder Dr #202,Las Vegas,NV,89128,181500,2,2.0,Rock Springs Vista-Unit 6,912,,1990,14,199,170,Sold,,,http://www.redfin.com/NV/Las-Vegas/901-Red-Boulder-Dr-89128/unit-202/home/29208138,GLVAR,2276586,N,Y,36.1815348,-115.2655378
PAST SALE,March-24-2021,Condo/Co-op,7965 Lions Rock Way #101,Las Vegas,NV,89128,183000,2,1.75,Rock Springs Vista-Unit 6,1136,,1991,30,161,170,Sold,,,http://www.redfin.com/NV/Las-Vegas/7965-Lions-Rock-Way-89128/unit-101/home/29205698,GLVAR,2270505,N,Y,36.1852717,-115.2686171
PAST SALE,March-29-2021,Condo/Co-op,912 Boulder Mesa Dr #201,Las Vegas,NV,89128,190000,2,2.0,Rock Springs Vista-Unit 6,1136,,1990,25,167,170,Sold,,,http://www.redfin.com/NV/Las-Vegas/912-Boulder-Mesa-89128/unit-201/home/29208929,GLVAR,2269033,N,Y,36.1826429,-115.2678531
PAST SALE,April-2-2021,Condo/Co-op,1108 Falconhead Ln #201,Las Vegas,NV,89128,181000,2,2.0,Rock Springs Vista-Unit 6,1136,,1988,21,159,170,Sold,,,http://www.redfin.com/NV/Las-Vegas/1108-Falconhead-Ln-89128/unit-201/home/29208350,GLVAR,2271851,N,Y,36.18439,-115.265628
PAST SALE,February-22-2021,Condo/Co-op,2121 Blue Breeze Dr #202,Las Vegas,NV,89128,172000,3,2.0,Catalina Shores At South Shores Phase 1,1038,1038,1990,60,166,231,Sold,,,http://www.redfin.com/NV/Las-Vegas/2121-Blue-Breeze-Dr-89128/unit-202/home/29026504,GLVAR,2265676,N,Y,36.1989264,-115.2610242
PAST SALE,January-25-2021,Condo/Co-op,7720 Secret Shore Dr #205,Las Vegas,NV,89128,153000,2,2.0,Catalina Shores At South Shores Phase 1,1005,1005,1990,88,152,231,Sold,,,http://www.redfin.com/NV/Las-Vegas/7720-Secret-Shore-Dr-89128/unit-205/home/29026189,GLVAR,2226760,N,Y,36.1985343,-115.2633383
PAST SALE,March-18-2021,Condo/Co-op,7730 Secret Shore Dr #201,Las Vegas,NV,89128,160500,2,2.0,Catalina Shores At South Shores Phase 1,1005,,1990,36,160,231,Sold,,,http://www.redfin.com/NV/Las-Vegas/7730-Secret-Shore-Dr-89128/unit-201/home/29026183,GLVAR,2268850,N,Y,36.1986184,-115.2638477
PAST SALE,March-29-2021,Condo/Co-op,2101 Sealion Dr #203,Las Vegas,NV,89128,118000,1,1.0,Catalina Shores At South Shores Phase 1,659,659,1990,25,179,226,Sold,,,http://www.redfin.com/NV/Las-Vegas/2101-Sealion-Dr-89128/unit-203/home/29015560,GLVAR,2272971,N,Y,36.1984457,-115.2623196
PAST SALE,February-17-2021,Single Family Residential,3013 Blue Fin Cir,Las Vegas,NV,89128,315000,3,2.0,Gulls Landing,1642,6534,1989,65,192,74,Sold,,,http://www.redfin.com/NV/Las-Vegas/3013-N-Blue-Fin-Cir-89128/home/29144040,GLVAR,2229266,N,Y,36.2154645,-115.262227
PAST SALE,January-29-2021,Single Family Residential,2913 Reef Bay Ln,Las Vegas,NV,89128,378000,3,2.5,Moonlight Bay,1950,4356,1989,84,194,85,Sold,,,http://www.redfin.com/NV/Las-Vegas/2913-N-Reef-Bay-Ln-89128/home/29145886,GLVAR,2223420,N,Y,36.2130518,-115.2613008
