SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,February-26-2021,Condo/Co-op,1275 Ice Park St #102,Las Vegas,NV,89135,360000,2,2.0,Charleston & 215 Aka Affinity,1193,3485,2019,56,302,237,Sold,,,http://www.redfin.com/NV/Summerlin-South/Ice-Park-St-89135/unit-102/home/113672978,GLVAR,2260083,N,Y,36.156551,-115.341037
PAST SALE,March-10-2021,Condo/Co-op,11258 Essence Point Ave #212,Las Vegas,NV,89135,350000,2,2.5,Charleston & 215 Aka Affinity,1431,,2020,44,245,237,Sold,,,http://www.redfin.com/NV/Las-Vegas/11258-Essence-Point-Ave-89135/unit-212/home/166486272,GLVAR,2251608,N,Y,36.156814,-115.33932
PAST SALE,March-2-2021,Condo/Co-op,11441 Allerton Park Dr #406,Las Vegas,NV,89135,625000,2,2.25,SUMMERLIN LOFTS PHASE 1 AMD,2256,,2007,52,277,658,Sold,,,http://www.redfin.com/NV/Las-Vegas/11441-Allerton-Park-Dr-89135/unit-406/home/29488335,GLVAR,2248511,N,Y,36.1570313,-115.3446518
PAST SALE,March-2-2021,Townhouse,11262 Cactus Tower #102,Las Vegas,NV,89135,492500,2,2.0,Charleston & 215 Aka Affinity,2054,4792,2019,52,240,237,Sold,,,http://www.redfin.com/NV/Summerlin-South/Cactus-Tower-Ave-89135/unit-102/home/165920560,GLVAR,2256835,N,Y,36.156267,-115.339736
PAST SALE,March-26-2021,Condo/Co-op,11283 Cactus Tower Ave #102,Las Vegas,NV,89135,373000,2,2.0,Charleston & 215 Aka Affinity,1193,3485,2018,28,313,257,Sold,,,http://www.redfin.com/NV/Summerlin-South/Cactus-Tower-Ave-89135/unit-102/home/113672974,GLVAR,2257948,N,Y,36.156032,-115.340314
PAST SALE,March-26-2021,Condo/Co-op,11441 Allerton Park Dr #415,Las Vegas,NV,89135,625000,2,2.5,Summerlin Lofts Phase 1 Amd,2256,,2007,28,277,556,Sold,,,http://www.redfin.com/NV/Las-Vegas/11441-Allerton-Park-Dr-89135/unit-415/home/29488326,GLVAR,2268096,N,Y,36.1570313,-115.3446518
PAST SALE,February-22-2021,Single Family Residential,10485 Blenheim Ave,Las Vegas,NV,89135,685000,2,3.0,Crown Ridge At Summerlin-Phase 1,2722,10890,1999,60,252,,Sold,,,http://www.redfin.com/NV/Las-Vegas/10485-Blenheim-Ave-89135/home/29588554,GLVAR,2241892,N,Y,36.1335694,-115.3221411
PAST SALE,February-17-2021,Single Family Residential,4462 Monte San Savino,Las Vegas,NV,89135,570000,2,1.75,Sun Colony At Summerlin-Unit 23,2216,8712,2005,65,257,240,Sold,,,http://www.redfin.com/NV/Las-Vegas/4462-Monte-San-Savino-Ln-89135/home/29286066,GLVAR,2180088,N,Y,36.1082542,-115.3195716
PAST SALE,March-16-2021,Condo/Co-op,10809 Garden Mist Dr #1055,Las Vegas,NV,89135,270000,2,2.0,Garden Terrace Condo In Summerlin,1472,,2004,38,183,200,Sold,,,http://www.redfin.com/NV/Las-Vegas/10809-Garden-Mist-Dr-89135/unit-1055/home/29936128,GLVAR,2243303,N,Y,36.1259718,-115.3283448
PAST SALE,March-18-2021,Townhouse,10425 Premia Pl,Las Vegas,NV,89135,349900,2,1.75,Sun Colony Summerlin,1370,3920,2004,36,255,240,Sold,,,http://www.redfin.com/NV/Las-Vegas/10425-Premia-Pl-89135/home/29000693,GLVAR,2266209,N,Y,36.092479,-115.320792
