SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,March-23-2021,Single Family Residential,4018 White Opal St,Las Vegas,NV,89130,417000,5,3.0,Jones Hickam,2956,4356,2019,31,141,95,Sold,,,http://www.redfin.com/NV/Las-Vegas/4018-White-Opal-St-89130/home/167637704,GLVAR,2268567,N,Y,36.232397,-115.223357
PAST SALE,April-13-2021,Single Family Residential,5933 Icicle Falls Ave,Las Vegas,NV,89130,435000,5,2.75,Jones Hickam,2956,4356,2019,10,147,93,Sold,,,http://www.redfin.com/NV/Las-Vegas/5933-Icicle-Falls-Ave-89130/home/167637654,GLVAR,2259237,N,Y,36.2333344,-115.2237856
PAST SALE,,Single Family Residential,5893 Peridot Falls Ave,Las Vegas,NV,89130,315810,4,2.0,,1841,4792,2019,,172,,,,,http://www.redfin.com/NV/Las-Vegas/5893-Peridot-Falls-Ave-89130/home/167637891,,,N,Y,36.2346904,-115.222857
PAST SALE,February-26-2021,Single Family Residential,5701 Hickam Ave,Las Vegas,NV,89130,525000,4,2.75,,2412,20038,1980,56,218,,Sold,,,http://www.redfin.com/NV/Las-Vegas/5701-Hickam-Ave-89130/home/29116393,GLVAR,2249904,N,Y,36.2357884,-115.2213592
