SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,,Single Family Residential,1331 Burnham Ave,Las Vegas,NV,89104,265000,3,2.0,,1211,5663,1953,,219,,,,,http://www.redfin.com/NV/Las-Vegas/1331-Burnham-Ave-89104/home/29454171,,,N,Y,36.1535441,-115.1231624
PAST SALE,March-5-2021,Single Family Residential,2025 Franklin Avenue Ave,Las Vegas,NV,89104,185000,2,2.0,Columbia Heights Add #1,1036,6098,1951,49,179,,Sold,,,http://www.redfin.com/NV/Las-Vegas/2025-Franklin-Ave-89104/home/29452995,GLVAR,2269957,N,Y,36.1553232,-115.1198269
PAST SALE,March-5-2021,Single Family Residential,2020 Griffith Ave,Las Vegas,NV,89104,237515,3,1.75,Bel Air Sub Tr 2,1303,6098,1953,49,182,,Sold,,,http://www.redfin.com/NV/Las-Vegas/2020-Griffith-Ave-89104/home/29454306,GLVAR,2265479,N,Y,36.1522297,-115.1199659
PAST SALE,March-11-2021,Single Family Residential,1100 5th Pl,Las Vegas,NV,89104,510000,6,5.25,Park Place Add Amd,3520,8712,1997,43,145,,Sold,,,http://www.redfin.com/NV/Las-Vegas/1100-5th-Pl-89104/home/29454506,GLVAR,2258694,N,Y,36.1567647,-115.1472744
PAST SALE,March-15-2021,Single Family Residential,556 Oakey Blvd,Las Vegas,NV,89104,390000,3,1.75,Beverly Green Tr #3,1813,8712,1959,39,215,,Sold,,,http://www.redfin.com/NV/Las-Vegas/556-E-Oakey-Blvd-89104/home/29455665,GLVAR,2270063,N,Y,36.1511381,-115.1478071
PAST SALE,,Single Family Residential,1506 5th Pl,Las Vegas,NV,89104,503290,6,4.5,,4424,10890,1959,,114,,,,,http://www.redfin.com/NV/Las-Vegas/1506-5th-Pl-89104/home/29454435,,,N,Y,36.1525082,-115.1474597
PAST SALE,March-26-2021,Single Family Residential,1101 6th St,Las Vegas,NV,89104,670000,4,3.25,VEGA VERDE ADD,3637,12632,1973,28,184,,Sold,,,http://www.redfin.com/NV/Las-Vegas/1101-S-6th-St-89104/home/29455712,GLVAR,2268962,N,Y,36.1570521,-115.1457226
PAST SALE,,Single Family Residential,1312 S 6th St,Las Vegas,NV,89104,390000,4,4.0,,3211,10454,1975,,121,,,,,http://www.redfin.com/NV/Las-Vegas/1312-S-6th-St-89104/home/29454392,,,N,Y,36.1545108,-115.1464174
PAST SALE,,Single Family Residential,1424 Franklin Ave,Las Vegas,NV,89104,201200,2,2.0,,1108,6970,1951,,182,,,,,http://www.redfin.com/NV/Las-Vegas/1424-Franklin-Ave-89104/home/29452814,,,N,Y,36.1548637,-115.133632
PAST SALE,March-3-2021,Single Family Residential,4525 New York Ave,Las Vegas,NV,89104,345000,4,1.75,Vegas Manor Tr 2,2323,10019,1989,51,149,,Sold,,,http://www.redfin.com/NV/Las-Vegas/4525-E-New-York-Ave-89104/home/29407900,GLVAR,2261560,N,Y,36.1509769,-115.0759293
